hiligaynon_term,english_term,medical_category,severity,triage_level,status
dugay na may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nag dugo man,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ku sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
dugay na may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
dugay na nabali kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ku sang natumba gid,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ku sang natumba gid ko,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ku sang natumba ko gid,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ku sang natumba man,hand fracture,Fracture,High,emergency,active
dugay na nabali kamot ku sang natumba na gid,hand fracture,Fracture,High,emergency,active
dugay na nabali na kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
dugay na nabali na kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
dugay na nabali na kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
dugay na nabali na kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
dugay na nabali na kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
dugay na nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
dugay na nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,Infection,High,emergency,active
dugay na nagdugo ulo ko kag nahilo ko,head bleeding with dizziness,Trauma,Critical,emergency,active
dugay na nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ku pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nagdugo ulo ku pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
dugay na nakuryente ko sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ko sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ko sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ko sang kuryente man,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ko sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ku sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ku sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ku sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ku sang kuryente man,electrical injury,Trauma,Critical,emergency,active
dugay na nakuryente ku sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
dugay na nautod na tudlo ko sang makina gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod na tudlo ko sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
dugay na nautod na tudlo ko sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod na tudlo ko sang makina man,amputated finger,Trauma,Critical,emergency,active
dugay na nautod na tudlo ko sang makina na gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ko sang makina gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ko sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ko sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ko sang makina man,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ko sang makina na gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ku sang makina gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ku sang makina gid ko,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ku sang makina ko gid,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ku sang makina man,amputated finger,Trauma,Critical,emergency,active
dugay na nautod tudlo ku sang makina na gid,amputated finger,Trauma,Critical,emergency,active
dugay na sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,Cardiovascular,Critical,emergency,active
dugay na sakit dughan ko kag gahika ko,chest pain with cough,Cardiovascular,Critical,emergency,active
dugo bilat,vaginal bleeding,gynecologic_symptom,High,urgent,active
dugo gid ang baba ko,oral bleeding,Bleeding,Medium,urgent,active
dugo gid ang ilong ko,nosebleed,Bleeding,Medium,urgent,active
dugo gid ang kamot ko,hand bleeding,Bleeding,Medium,urgent,active
dugo gid ang pilas ko,bleeding wound,Wound,High,emergency,active
dugo gid ang pilas ku,bleeding wound,Wound,High,emergency,active
dugo gid ang tiil ko,foot bleeding,Bleeding,Medium,urgent,active
dugo gid ang tudlo ko,finger bleeding,Bleeding,Medium,urgent,active
dugo gid ang ulo ko,head bleeding,Bleeding,High,emergency,active
dugo gid ang ulo ku,head bleeding,Bleeding,High,emergency,active
dugo gid indi mapunggan sa ari ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa ari ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa ary ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa ary ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilad ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilad ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilat ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilat ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlog ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlog ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlug ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlug ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ari ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ari ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ary ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ary ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa bilad ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa bilad ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa bilat ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa bilat ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa itlog ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa itlog ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa itlug ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa itlug ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dula ginhawa ko pls,shortness of breath,Respiratory,Critical,emergency,active
flu,influenza,Infectious,Medium,urgent,active
gadugo akon bilad,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon bilat,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilad,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilat,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gahapon may nana akon mata,eye infection,Infection,High,urgent,active
gahapon may pilas ko sa kamot,hand wound,Wound,Medium,urgent,active
gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,Trauma,High,emergency,active
gahubag kamot ko upod sang nagdugo kamot ko,hand swelling with bleeding,Trauma,High,emergency,active
gahubag lawas ko kag gakatol lawas ko,body swelling with itching,Allergy,High,emergency,active
gahubag lawas ko upod sang gakatol lawas ko,body swelling with itching,Allergy,High,emergency,active
gahubag tungod ko kag ginahilanat ko,throat swelling with fever,ENT,High,emergency,active
gahubag tungod ko upod sang ginahilanat ko,throat swelling with fever,ENT,High,emergency,active
gakadugo akon bilad,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo akon bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo akon bilat,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo akon bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilad ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gakadugo bilat ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gastric,hyperacidity,Digestive,Mild,non_urgent,active
gin kagat ahas ako,snake bite,Bite,Critical,emergency,active
gin kagat ako sang ahas,snake bite,Bite,Critical,emergency,active
gin kagat ako sang ido,dog bite,Bite,Critical,emergency,active
gin kagat ido ako,dog bite,Bite,Critical,emergency,active
gin kagat sang ahas ko,snake bite,Bite,Critical,emergency,active
gin kagat sang ido ko,dog bite,Bite,Critical,emergency,active
gin kagat sang ido ko kag nagdugo,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
ginabalaka ko ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,Trauma,High,emergency,active
ginabalaka ko ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,Trauma,High,emergency,active
ginabalaka ko ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,Trauma,High,emergency,active
ginabalaka ko ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,Trauma,High,emergency,active
ginabalaka ko ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,Trauma,High,emergency,active
ginabalaka ko may nana akon mata subong gid,eye infection,Infection,High,urgent,active
ginabalaka ko may nana akon mata subong gid ko,eye infection,Infection,High,urgent,active
ginabalaka ko may nana akon mata subong ko gid,eye infection,Infection,High,urgent,active
ginabalaka ko may nana akon mata subong man,eye infection,Infection,High,urgent,active
ginabalaka ko may nana akon mata subong na gid,eye infection,Infection,High,urgent,active
ginabalaka ko may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nag dugo man,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nagdugo man,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,Wound,High,emergency,active
ginabalaka ko nabali kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali na kamot ko sang natumba gid,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali na kamot ko sang natumba gid ko,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali na kamot ko sang natumba ko gid,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali na kamot ko sang natumba man,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabali na kamot ko sang natumba na gid,hand fracture,Fracture,High,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,Trauma,Critical,emergency,active
ginabalaka ko nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,Trauma,Critical,emergency,active
ginabalaka ko nakuryente ko sang kuryente gid,electrical injury,Trauma,Critical,emergency,active
ginabalaka ko nakuryente ko sang kuryente gid ko,electrical injury,Trauma,Critical,emergency,active
ginabalaka ko nakuryente ko sang kuryente ko gid,electrical injury,Trauma,Critical,emergency,active
ginabalaka ko nakuryente ko sang kuryente man,electrical injury,Trauma,Critical,emergency,active
ginabalaka ko nakuryente ko sang kuryente na gid,electrical injury,Trauma,Critical,emergency,active
