id,hiligaynon_complaint,normalized_symptom,english_translation,medical_term,body_part,pain_category,severity_level,alternative_spellings
395,Masakit likod ko gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
396,masakit likod man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
397,masakit likod no,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
398,masakit sing malala akon likod gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
399,masakti likod,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
400,maskit likod,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
401,may ara ko kirot likod subong ako,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
402,may ara ko masakit likod pirmi man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
403,may ara ko nga ako ginasakit likod halin sang aga ako,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
404,may ara ko nga ako ginasakit likod subong ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
405,may ara ko nga back pain gid ko ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
406,may ara ko nga daw upper back pain gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
407,may ara ko nga ginasakit likod ko gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
408,may ara ko nga kirot likod ko grabe,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
409,may ara ko nga may back pain ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
410,may ara ko nga nagasakit likod ko ako,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
411,may ara ko nga nagasakit likod ko ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
412,may ara ko nga nagasakit likod ko subong,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
413,may ara ko nga sakit likod ko sige man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
414,may back pain ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
415,may back pain ko subong,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
416,nagasakit likod ko ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
417,pareho ako ginasakit likod halin sang aga,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
418,pareho back pain gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
419,pareho back pain gid ko ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
420,pareho daw ga sakit likod gid ko man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
421,pareho daw lower back pain gid ko ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
422,pareho feel ko nga kirot likod ko ako,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
423,pareho ginasakit likod ko gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
424,pareho grabe gid ga sakit likod na gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
425,pareho grabe gid masakit likod man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
426,pareho hapdi likod ko ako,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
427,pareho kirot likod ko daw malala ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
428,pareho lower back pain gid ko subong gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
429,pareho may ara ko ga sakit likod subong gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
430,pareho may ara ko kirot likod subong,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
431,pareho may ara ko sakit likod subong man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
432,pareho may back pain ko ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
433,pareho nagasakit likod ko gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
434,pareho upper back pain gid ko subong,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
435,pirmi ko ga sakit likod ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
436,saket likod,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
437,sakit likod,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
438,sakit likod bah,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
439,sakit likod gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
440,sakit likod gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
441,sakit likod ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
442,sakit likod man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
443,sakit likod no,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
444,skit likod,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
445,upper back pain,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
446,upper back pain bah,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
447,upper back pain gid,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
448,upper back pain gid ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
449,upper back pain gid ko subong,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
450,upper back pain ko,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
451,upper back pain man,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
452,upper back pain no,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
453,upper back pain skit,back pain,back pain,dorsalgia,back,spinal pain,medium,ginasakit likod;lower back pain;upper back pain;ga sakit likod;masakit likod;sakit likod;kirot likod;hapdi likod
454,basin ako kirot bilog lawas pirmi na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
455,basin ako sakit lawas sige gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
456,basin daw kapoy gid lawas gid ko na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
457,basin feel ko nga kapoy gid lawas ko na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
458,basin feel ko nga sakit bilog lawas ko na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
459,basin feel ko nga whole body pain ko subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
460,basin generalized pain gid ko man,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
461,basin kirot lawas ko grabeh subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
462,basin kirot lawas ko sing malala gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
463,basin masakit daw malala akon lawas ako,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
464,basin may ara ko whole body pain subong gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
465,basin may ara ko whole body pain subong na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
466,basin may generalized pain ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
467,basin nagasakit lawas ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
468,basin nagasakit lawas ko ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
469,basin sakit lawas ko sige gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
470,body pain,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
471,body pain bah,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
472,body pain gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
473,body pain gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
474,body pain ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
475,body pain man,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
476,body pain no,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
477,body pain skit,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
478,daw ako kirot bilog lawas sige ako,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
479,daw body pain gid ko subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
480,daw daw masakit bilog lawas gid ko gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
481,daw feel ko nga kirot bilog lawas ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
482,daw grabe gid luya lawas subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
483,daw hapdi lawas ko subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
484,daw kapoy gid lawas gid ko ako,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
485,daw kirot lawas ko daw malala ako,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
486,daw kirot lawas ko grabeh na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
487,daw kirot lawas ko sing malala ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
488,daw kirot lawas ko sobra,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
489,daw masakit grabe akon lawas gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
490,daw may ara ko sakit bilog lawas halin sang aga,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
491,daw may ara ko sakit lawas karon subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
492,daw may generalized pain ko gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
493,feel ko nga ako sakit lawas kagapon gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
494,feel ko nga ako whole body pain pirmi man,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
495,feel ko nga generalized pain gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
496,feel ko nga grabe gid kapoy gid lawas gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
497,feel ko nga grabe gid sakit lawas gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
498,feel ko nga masakit grabeh akon lawas na gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
499,feel ko nga may generalized pain ko gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
500,feel ko nga may generalized pain ko subong,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
501,feel ko nga pirmi ko sakit bilog lawas ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
502,generalized pain gid ko gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
503,hapdi lawas ko ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
504,kapoy gid lawas,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
505,kapoy gid lawas bah,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
506,kapoy gid lawas gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
507,kapoy gid lawas gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
508,Kapoy gid lawas ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
509,kapoy gid lawas man,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
510,kapoy gid lawas no,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
511,kapoy gid lawas skit,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
512,kirot bilog lawas,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
513,kirot bilog lawas bah,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
514,kirot bilog lawas gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
515,kirot bilog lawas gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
516,kirot bilog lawas ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
517,kirot bilog lawas man,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
518,kirot bilog lawas no,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
519,kirot bilog lawas skit,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
520,kirot lawas ko gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
521,kirot lawas ko malala gid man,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
522,kirt bilog lawas,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
523,luya lawas,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
524,luya lawas bah,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
525,luya lawas gid,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
526,luya lawas gid ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
527,luya lawas ko,body pain,generalized pain,myalgia,body,generalized pain,medium,masakit bilog lawas;kirot bilog lawas;sakit bilog lawas;whole body pain;kapoy gid lawas;masakit lawas;sakit lawas;luya lawas;body pain
