hiligaynon_term,alternative_spellings,english_translation,medical_term,category,severity_level,confidence_keywords
nagaparalisa,paralysis;dili makagalaw;indi makahilod,paralysis,paralysis,Emergency,Critical,paralysis;stroke;weakness
paralysis,nagaparalisa;dili makagalaw;indi makahilod,paralysis,paralysis,Emergency,Critical,paralysis;stroke;weakness
ginatulo sing dugo kag pelvic injury,ginatulo-sing-dugo-kag-pelvic-injury,pelvic injury bleeding,pelvic fracture,Emergency,Critical,blood;pelvis;trauma
ginatulo sing dugo kag perioperative,ginatulo-sing-dugo-kag-perioperative,perioperative bleeding,perioperative hemorrhage,Emergency,Critical,blood;perioperative
ginatulo sing dugo kag perioperative complication,ginatulo-sing-dugo-kag-perioperative-complication,perioperative complication bleeding,perioperative complication,Emergency,Critical,blood;complication;surgery
ginatulo sing dugo kag postop,ginatulo-sing-dugo-kag-postop,postop bleeding,postoperative hemorrhage,Emergency,Critical,blood;postoperative
ginatulo sing dugo kag operasyon,ginatulo-sing-dugo-kag-operasyon,postoperative bleeding,postoperative hemorrhage,Emergency,Critical,blood;surgery;bleeding
ginatulo sing dugo kag preop,ginatulo-sing-dugo-kag-preop,preop bleeding,preoperative bleeding,Emergency,High,blood;preoperative
nagakonvulsyon indi mauntat,prolonged seizure;nagakonvulsyon-indi-mauntat,prolonged seizure,status epilepticus,Emergency,Critical,seizure;emergency;convulsion
prolonged seizure,nagakonvulsyon indi mauntat;prolonged-seizure,prolonged seizure,status epilepticus,Emergency,Critical,seizure;emergency;convulsion
ginatulo sing dugo kag radiation,ginatulo-sing-dugo-kag-radiation,radiation bleeding,radiation complication,Emergency,High,blood;radiation;cancer
breathing problem general,ginadula ginhawa;breathing-problem-general,respiratory distress,respiratory distress,Emergency,Critical,breath;emergency;lung
ginadula ginhawa,breathing problem general;ginadula-ginhawa,respiratory distress,respiratory distress,Emergency,Critical,breath;emergency;lung
ginatulo sing dugo kag rib fracture,ginatulo-sing-dugo-kag-rib-fracture,rib fracture bleeding,rib fracture,Emergency,High,blood;rib;trauma
atake,kombulsyon;konvulsyon;nagakonvulsyon;ginakonvulsyon;seizure,seizure,seizure,Emergency,Critical,seizure;convulsion;epilepsy
ginakonvulsyon,kombulsyon;konvulsyon;nagakonvulsyon;seizure;atake,seizure,seizure,Emergency,Critical,seizure;convulsion;epilepsy
kombulsyon,konvulsyon;nagakonvulsyon;ginakonvulsyon;seizure;atake,seizure,seizure,Emergency,Critical,seizure;convulsion;epilepsy
konvulsyon,kombulsyon;nagakonvulsyon;ginakonvulsyon;seizure;atake,seizure,seizure,Emergency,Critical,seizure;convulsion;epilepsy
nagakonvulsyon,kombulsyon;konvulsyon;ginakonvulsyon;seizure;atake,seizure,seizure,Emergency,Critical,seizure;convulsion;epilepsy
seizure,kombulsyon;konvulsyon;nagakonvulsyon;ginakonvulsyon;atake,seizure,seizure,Emergency,Critical,seizure;convulsion;epilepsy
blood infection,sepsis;ginasepsis;blood-infection,sepsis,sepsis,Emergency,Critical,sepsis;infection;fever;emergency
ginasepsis,sepsis;blood infection,sepsis,sepsis,Emergency,Critical,sepsis;infection;fever;emergency
sepsis,blood infection;ginasepsis,sepsis,sepsis,Emergency,Critical,sepsis;infection;fever;emergency
dugo sing damo,ginadugo sing grabe;severe bleeding;gindugo sing damo;may dugo sing damo;nagdugo sing damo;dugo-sing-damo,severe bleeding,hemorrhage,Emergency,Critical,bleeding;emergency;trauma
ginadugo sing grabe,severe bleeding;dugo sing damo;ginadugo-sing-grabe,severe bleeding,hemorrhage,Emergency,Critical,bleeding;emergency;trauma
severe bleeding,ginadugo sing grabe;dugo sing damo;severe-bleeding,severe bleeding,hemorrhage,Emergency,Critical,bleeding;emergency;trauma
budlay gid akon ginhawa,lisod gid magginhawa;may budlay gid akon ginhawa;budlay-gid-akon-ginhawa;ginbudlay gid akon ginhawa;nagbudlay gid akon ginhawa,severe breathlessness phrase,dyspnea,Emergency,Critical,breath;emergency;phrase
lisod gid magginhawa,budlay gid akon ginhawa;ginlisod gid magginhawa;naglisod gid magginhawa;may lisod gid magginhawa;lisod-gid-magginhawa,severe breathlessness phrase,dyspnea,Emergency,Critical,breath;emergency;phrase
hapdi gid dughan,masakit gid akon dughan;naghapdi gid dughan;hapdi-gid-dughan;may hapdi gid dughan;ginhapdi gid dughan,severe chest pain phrase,chest pain,Emergency,Critical,chest;heart;emergency
masakit gid akon dughan,hapdi gid dughan;nagmasakit gid akon dughan;ginmasakit gid akon dughan;masakit-gid-akon-dughan;may masakit gid akon dughan,severe chest pain phrase,chest pain,Emergency,Critical,chest;heart;emergency
ginadugo ihi sing grabe,severe hematuria;ginadugo-ihi-sing-grabe,severe hematuria,hematuria,Emergency,Critical,blood;urine;emergency
severe hematuria,ginadugo ihi sing grabe;severe-hematuria,severe hematuria,hematuria,Emergency,Critical,blood;urine;emergency
ginahapdi gid,severe pain;ginahapdi-gid,severe pain,severe pain,Emergency,High,pain;severe;emergency
severe pain,ginahapdi gid;severe-pain,severe pain,severe pain,Emergency,High,pain;severe;emergency
ginatulo sing dugo kag spinal injury,ginatulo-sing-dugo-kag-spinal-injury,spinal injury bleeding,spinal trauma,Emergency,Critical,blood;spine;trauma
ginatulo sing dugo kag spleen,ginatulo-sing-dugo-kag-spleen,spleen bleeding,splenic rupture,Emergency,Critical,blood;spleen;trauma
ginatulo sing dugo kag spleen injury,ginatulo-sing-dugo-kag-spleen-injury,spleen injury bleeding,splenic trauma,Emergency,Critical,blood;spleen;trauma
ginatulo sing dugo kag stab,ginatulo-sing-dugo-kag-stab,stab wound bleeding,penetrating trauma,Emergency,Critical,blood;stab;trauma
atake sa utok,stroke;nagastroke;brain attack;atake-sa-utok,stroke,cerebrovascular accident,Emergency,Critical,stroke;brain;paralysis;speech
brain attack,stroke;atake sa utok;nagastroke;brain-attack,stroke,cerebrovascular accident,Emergency,Critical,stroke;brain;paralysis;speech
nagastroke,stroke;atake sa utok;brain attack,stroke,cerebrovascular accident,Emergency,Critical,stroke;brain;paralysis;speech
stroke,atake sa utok;nagastroke;brain attack,stroke,cerebrovascular accident,Emergency,Critical,stroke;brain;paralysis;speech
nagadula speech kag pamamanhid,stroke symptoms phrase;nagadula-speech-kag-pamamanhid,stroke symptoms,cerebrovascular accident,Emergency,Critical,stroke;speech;numb;emergency
stroke symptoms phrase,nagadula speech kag pamamanhid;stroke-symptoms-phrase,stroke symptoms,cerebrovascular accident,Emergency,Critical,stroke;speech;numb;emergency
nagadula panulok bigla,sudden vision loss;nagadula-panulok-bigla,sudden vision loss,sudden vision loss,Emergency,Critical,vision;sudden;emergency
sudden vision loss,nagadula panulok bigla;sudden-vision-loss,sudden vision loss,sudden vision loss,Emergency,Critical,vision;sudden;emergency
nagahunahuna magpakamatay,suicidal thoughts;nagahunahuna-magpakamatay,suicidal ideation,suicidal ideation,Emergency,Critical,suicide;mental;emergency
suicidal thoughts,nagahunahuna magpakamatay;suicidal-thoughts,suicidal ideation,suicidal ideation,Emergency,Critical,suicide;mental;emergency
ginatulo sing dugo kag surgery,ginatulo-sing-dugo-kag-surgery,surgery bleeding,postoperative hemorrhage,Emergency,Critical,blood;surgery;bleeding
fainting dizzy,nagalipong dayon nagahulog;fainting-dizzy,syncope with dizziness,syncope,Emergency,Critical,faint;dizzy;collapse
nagalipong dayon nagahulog,fainting dizzy;nagalipong-dayon-nagahulog,syncope with dizziness,syncope,Emergency,Critical,faint;dizzy;collapse
nagasingal tutunlan,swollen throat;nagasingal-tutunlan,throat swelling,pharyngeal edema,Emergency,Critical,throat;swelling;allergy;anaphylaxis
swollen throat,nagasingal tutunlan;swollen-throat,throat swelling,pharyngeal edema,Emergency,Critical,throat;swelling;allergy;anaphylaxis
nagahapdi ulo sing grabe,thunderclap headache;nagahapdi-ulo-sing-grabe,thunderclap headache,thunderclap headache,Emergency,Critical,headache;sudden;emergency;stroke
thunderclap headache,nagahapdi ulo sing grabe;thunderclap-headache,thunderclap headache,thunderclap headache,Emergency,Critical,headache;sudden;emergency;stroke
ginatulo sing dugo kag tonsil bunot,ginatulo-sing-dugo-kag-tonsil-bunot,tonsil removal bleeding,postoperative bleeding,Emergency,High,blood;throat
ginatulo sing dugo kag tonsil surgery,ginatulo-sing-dugo-kag-tonsil-surgery,tonsillectomy bleeding,post-tonsillectomy hemorrhage,Emergency,High,blood;throat;surgery
ginatulo sing dugo kag trauma,ginatulo-sing-dugo-kag-trauma,trauma bleeding,traumatic hemorrhage,Emergency,Critical,blood;trauma;emergency
nagadugo sing indi mauntat,uncontrolled bleeding;nagadugo-sing-indi-mauntat,uncontrolled bleeding,hemorrhage,Emergency,Critical,bleeding;emergency;trauma
uncontrolled bleeding,nagadugo sing indi mauntat;uncontrolled-bleeding,uncontrolled bleeding,hemorrhage,Emergency,Critical,bleeding;emergency;trauma
ginatulo sing dugo kag urethral injury,ginatulo-sing-dugo-kag-urethral-injury,urethral injury bleeding,urethral trauma,Emergency,High,blood;urethra;trauma
ginatulo sing dugo kag varices,ginatulo-sing-dugo-kag-varices,variceal bleeding,esophageal varices,Emergency,Critical,blood;liver;varices
bulag,nagadula panulok;vision loss,vision loss,vision loss,Emergency,Critical,vision;blind;eye;emergency
vision loss,nagadula panulok;bulag;vision-loss,vision loss,vision loss,Emergency,Critical,vision;blind;eye;emergency
ginatulo sing dugo kag warfarin,ginatulo-sing-dugo-kag-warfarin,warfarin bleeding,warfarin complication,Emergency,Critical,blood;warfarin;bleeding
ginatulo sing dugo kag sugat,ginatulo-sing-dugo-kag-sugat,wound bleeding,wound hemorrhage,Emergency,Critical,blood;wound;trauma
cramping stomach,ginatight tiyan;cramping-stomach,abdominal cramping,abdominal cramps,Gastroenterology,Medium,cramp;stomach;gi
ginatight tiyan,cramping stomach;ginatight-tiyan;ginatight tyan,abdominal cramping,abdominal cramps,Gastroenterology,Medium,cramp;stomach;gi
fever stomach,ginahilanat tiyan;fever-stomach,abdominal fever,intra-abdominal infection,Gastroenterology,High,fever;abdomen;infection
ginahilanat tiyan,fever stomach;ginahilanat-tiyan;ginahilanat tyan,abdominal fever,intra-abdominal infection,Gastroenterology,High,fever;abdomen;infection
ginatubo tiyan,swollen belly;ginatubo tyan;ginatubo-tiyan,abdominal swelling,ascites,Gastroenterology,High,swelling;liver;abdomen
swollen belly,ginatubo tiyan;swollen-belly,abdominal swelling,ascites,Gastroenterology,High,swelling;liver;abdomen
ginatulo sing dugo kag anal,ginatulo-sing-dugo-kag-anal,anal bleeding,anal hemorrhage,Gastroenterology,Medium,blood;anal;hemorrhoids
ginatulo sing dugo kag fissure,ginatulo-sing-dugo-kag-fissure,anal fissure bleeding,anal fissure,Gastroenterology,Medium,blood;anal;fissure
ginadula gana tungod tiyan,no appetite stomach;ginadula-gana-tungod-tiyan;ginadula gana tungod tyan,anorexia abdominal,anorexia,Gastroenterology,Low,appetite;stomach
no appetite stomach,ginadula gana tungod tiyan;no-appetite-stomach,anorexia abdominal,anorexia,Gastroenterology,Low,appetite;stomach
bloated stomach,ginapanuhot;panuhot;ginapanuhot tiyan;busog tiyan;bloated-stomach,bloating,abdominal distension,Gastroenterology,Low,bloat;gas;stomach
busog tiyan,ginapanuhot;panuhot;ginapanuhot tiyan;bloated stomach;may busog tiyan;nagbusog tiyan;busog tyan;busog-tiyan;ginbusog tiyan,bloating,abdominal distension,Gastroenterology,Low,bloat;gas;stomach
ginapanuhot,panuhot;ginapanuhot tiyan;busog tiyan;bloated stomach,bloating,abdominal distension,Gastroenterology,Low,bloat;gas;stomach
ginapanuhot tiyan,ginapanuhot;panuhot;busog tiyan;bloated stomach;ginapanuhot-tiyan;ginapanuhot tyan,bloating,abdominal distension,Gastroenterology,Low,bloat;gas;stomach
panuhot,ginapanuhot;ginapanuhot tiyan;busog tiyan;bloated stomach,bloating,abdominal distension,Gastroenterology,Low,bloat;gas;stomach
dugo sa dumi,may dugo sa dumi;ginadugo tae;dugo sa tae;gindugo sa dumi;nagdugo sa dumi;dugo-sa-dumi,bloody stool,hematochezia,Gastroenterology,High,blood;stool;gi;bleeding
dugo sa tae,dugo sa dumi;may dugo sa dumi;ginadugo tae;may dugo sa tae;nagdugo sa tae;dugo-sa-tae;gindugo sa tae,bloody stool,hematochezia,Gastroenterology,High,blood;stool;gi;bleeding
ginadugo tae,dugo sa dumi;may dugo sa dumi;dugo sa tae;ginadugo-tae,bloody stool,hematochezia,Gastroenterology,High,blood;stool;gi;bleeding
may dugo sa dumi,dugo sa dumi;ginadugo tae;dugo sa tae;may-dugo-sa-dumi,bloody stool,hematochezia,Gastroenterology,High,blood;stool;gi;bleeding
ginatulo sing dugo kag colitis,ginatulo-sing-dugo-kag-colitis,colitis bleeding,colitis,Gastroenterology,High,blood;colitis;gi
buot,constipation;dili makalibang;ginabuot;ginadula kalibanga,constipation,constipation,Gastroenterology,Low,constipation;bowel;gi
constipation,buot;dili makalibang;ginabuot;ginadula kalibanga,constipation,constipation,Gastroenterology,Low,constipation;bowel;gi
dili makalibang,buot;constipation;ginabuot;ginadula kalibanga;may dili makalibang;nagdili makalibang;dili-makalibang;gindili makalibang,constipation,constipation,Gastroenterology,Low,constipation;bowel;gi
ginabuot,buot;constipation;dili makalibang;ginadula kalibanga,constipation,constipation,Gastroenterology,Low,constipation;bowel;gi
ginadula kalibanga,buot;constipation;dili makalibang;ginabuot;ginadula-kalibanga,constipation,constipation,Gastroenterology,Low,constipation;bowel;gi
ginatulo sing dugo kag crohn,ginatulo-sing-dugo-kag-crohn,crohn bleeding,crohn disease,Gastroenterology,High,blood;crohn;gi
gakalibanga,kalibanga;ginakalibanga;nagakalibanga;ginatulo;tulo-tulo;lbm;ginatulo sing dugo;naggakalibanga;gingakalibanga;may gakalibanga,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
ginakalibanga,kalibanga;gakalibanga;nagakalibanga;ginatulo;tulo-tulo;lbm;ginatulo sing dugo,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
ginatulo,kalibanga;gakalibanga;ginakalibanga;nagakalibanga;tulo-tulo;lbm;ginatulo sing dugo,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
ginatulo sing dugo,kalibanga;gakalibanga;ginakalibanga;nagakalibanga;ginatulo;tulo-tulo;lbm;ginatulo-sing-dugo,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
kalibanga,gakalibanga;ginakalibanga;nagakalibanga;ginatulo;tulo-tulo;lbm;ginatulo sing dugo;ginkalibanga;nagkalibanga;may kalibanga,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
lbm,kalibanga;gakalibanga;ginakalibanga;nagakalibanga;ginatulo;tulo-tulo;ginatulo sing dugo,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
nagakalibanga,kalibanga;gakalibanga;ginakalibanga;ginatulo;tulo-tulo;lbm;ginatulo sing dugo,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
tulo-tulo,kalibanga;gakalibanga;ginakalibanga;nagakalibanga;ginatulo;lbm;ginatulo sing dugo;may tulo-tulo;tulotulo;nagtulo-tulo;gintulo-tulo;tulo tulo,diarrhea,diarrhea,Gastroenterology,Medium,diarrhea;stool;gi;infection
masakit likod tiyan,pain upper stomach;masakit-likod-tiyan;ginmasakit likod tiyan;may masakit likod tiyan;nagmasakit likod tiyan;masakit likod tyan,epigastric pain,epigastric pain,Gastroenterology,Medium,stomach;ulcer;pain
pain upper stomach,masakit likod tiyan;pain-upper-stomach,epigastric pain,epigastric pain,Gastroenterology,Medium,stomach;ulcer;pain
ginatulo sing dugo kag esophagitis,ginatulo-sing-dugo-kag-esophagitis,esophagitis bleeding,esophagitis,Gastroenterology,Medium,blood;esophagus;gi
extreme thirst,ginauhaw gid;sobra uhaw;extreme-thirst,excessive thirst,polydipsia,Gastroenterology,Medium,thirst;diabetes;dehydration
ginauhaw gid,extreme thirst;sobra uhaw;ginauhaw-gid,excessive thirst,polydipsia,Gastroenterology,Medium,thirst;diabetes;dehydration
sobra uhaw,ginauhaw gid;extreme thirst;sobra-uhaw,excessive thirst,polydipsia,Gastroenterology,Medium,thirst;diabetes;dehydration
ginatulo sing dugo kag fistula,ginatulo-sing-dugo-kag-fistula,fistula bleeding,fistula,Gastroenterology,High,blood;fistula;gi
ginasakit kilid tiyan,side abdominal pain;ginasakit kilid tyan;ginasakit-kilid-tiyan,flank pain,flank pain,Gastroenterology,Medium,kidney;flank;pain
side abdominal pain,ginasakit kilid tiyan;side-abdominal-pain,flank pain,flank pain,Gastroenterology,Medium,kidney;flank;pain
ginatulo sing mabaho,ginatulo-sing-mabaho,foul stool,malodorous stool,Gastroenterology,Low,stool;infection;gi
ginatulo sing madamo,ginatulo-sing-madamo,frequent stool,frequent bowel movements,Gastroenterology,Medium,diarrhea;stool;gi
ginatulo sing dugo kag gallbladder,ginatulo-sing-dugo-kag-gallbladder,gallbladder bleeding,biliary bleeding,Gastroenterology,High,blood;gallbladder
ginatulo sing dugo kag gastritis,ginatulo-sing-dugo-kag-gastritis,gastritis bleeding,gastritis,Gastroenterology,Medium,blood;gastritis;gi
acid reflux,ginakabog;kabog;heartburn;acid-reflux,heartburn,gastroesophageal reflux,Gastroenterology,Low,reflux;acid;heartburn
ginakabog,kabog;heartburn;acid reflux,heartburn,gastroesophageal reflux,Gastroenterology,Low,reflux;acid;heartburn
heartburn,ginakabog;kabog;acid reflux,heartburn,gastroesophageal reflux,Gastroenterology,Low,reflux;acid;heartburn
kabog,ginakabog;heartburn;acid reflux,heartburn,gastroesophageal reflux,Gastroenterology,Low,reflux;acid;heartburn
ginatulo sing dugo kag hemorrhoids,ginatulo-sing-dugo-kag-hemorrhoids,hemorrhoid bleeding,hemorrhoids,Gastroenterology,Medium,blood;stool;hemorrhoids
ginatulo sing dugo kag hemorrhoid,ginatulo-sing-dugo-kag-hemorrhoid,hemorrhoid bleeding severe,hemorrhoids,Gastroenterology,Medium,blood;hemorrhoid
hepatitis,sakit atay;liver pain,hepatitis,hepatitis,Gastroenterology,High,liver;hepatitis;jaundice
liver pain,hepatitis;sakit atay;liver-pain,hepatitis,hepatitis,Gastroenterology,High,liver;hepatitis;jaundice
sakit atay,hepatitis;liver pain;nagsakit atay;may sakit atay;ginsakit atay;sakit-atay,hepatitis,hepatitis,Gastroenterology,High,liver;hepatitis;jaundice
ginatulo sing dugo kag ibd,ginatulo-sing-dugo-kag-ibd,ibd bleeding,inflammatory bowel disease,Gastroenterology,High,blood;ibd;gi
jaundice,panuhot yellow;yellow skin,jaundice,jaundice,Gastroenterology,High,liver;yellow;jaundice
panuhot yellow,yellow skin;jaundice;panuhot-yellow,jaundice,jaundice,Gastroenterology,High,liver;yellow;jaundice
yellow skin,panuhot yellow;jaundice;yellow-skin,jaundice,jaundice,Gastroenterology,High,liver;yellow;jaundice
ginatulo sing dugo kag liver,ginatulo-sing-dugo-kag-liver,liver bleeding,hepatic hemorrhage,Gastroenterology,Critical,blood;liver
dili gana kaon,wala gana kaon;gakadula gana kaon;wala gana;wala ko gana magkaon;ginawala gana;dili-gana-kaon,loss of appetite,anorexia,Gastroenterology,Low,appetite;eat;anorexia
gakadula gana kaon,wala gana kaon;wala gana;dili gana kaon;wala ko gana magkaon;ginawala gana;gakadula-gana-kaon,loss of appetite,anorexia,Gastroenterology,Low,appetite;eat;anorexia
ginawala gana,wala gana kaon;gakadula gana kaon;wala gana;dili gana kaon;wala ko gana magkaon;ginawala-gana,loss of appetite,anorexia,Gastroenterology,Low,appetite;eat;anorexia
wala gana,wala gana kaon;gakadula gana kaon;dili gana kaon;wala ko gana magkaon;ginawala gana;wala-gana,loss of appetite,anorexia,Gastroenterology,Low,appetite;eat;anorexia
wala gana kaon,gakadula gana kaon;wala gana;dili gana kaon;wala ko gana magkaon;ginawala gana;wala-gana-kaon,loss of appetite,anorexia,Gastroenterology,Low,appetite;eat;anorexia
wala ko gana magkaon,wala gana kaon;gakadula gana kaon;wala gana;dili gana kaon;ginawala gana;wala-ko-gana-magkaon,loss of appetite,anorexia,Gastroenterology,Low,appetite;eat;anorexia
ginatulo sing puti,ginatulo-sing-puti,mucus stool,mucous stool,Gastroenterology,Low,stool;mucus;gi
ginabalik tiyan,kasukaon;ginakasukaon;nahihilo tiyan;nausea;ginabalik tyan;ginabalik-tiyan,nausea,nausea,Gastroenterology,Low,nausea;vomit;stomach
ginakasukaon,kasukaon;nahihilo tiyan;ginabalik tiyan;nausea,nausea,nausea,Gastroenterology,Low,nausea;vomit;stomach
kasukaon,ginakasukaon;nahihilo tiyan;ginabalik tiyan;nausea;may kasukaon;nagkasukaon;ginkasukaon,nausea,nausea,Gastroenterology,Low,nausea;vomit;stomach
nahihilo tiyan,kasukaon;ginakasukaon;ginabalik tiyan;nausea;ginnahihilo tiyan;may nahihilo tiyan;nahihilo tyan;nahihilo-tiyan;nagnahihilo tiyan,nausea,nausea,Gastroenterology,Low,nausea;vomit;stomach
nausea,kasukaon;ginakasukaon;nahihilo tiyan;ginabalik tiyan,nausea,nausea,Gastroenterology,Low,nausea;vomit;stomach
ginatulo sing dugo kag nsaid,ginatulo-sing-dugo-kag-nsaid,nsaid bleeding,nsaid complication,Gastroenterology,High,blood;nsaid;ulcer
ginatulo sing dilaw,ginatulo-sing-dilaw,pale stool,clay colored stool,Gastroenterology,Medium,liver;stool;jaundice
ginatulo sing dugo kag pancreas,ginatulo-sing-dugo-kag-pancreas,pancreatic bleeding,pancreatic hemorrhage,Gastroenterology,Critical,blood;pancreas
ginatulo sing dugo kag rectal,ginatulo-sing-dugo-kag-rectal,rectal bleeding,rectal hemorrhage,Gastroenterology,High,blood;rectal;gi
ginatulo sing diutay,ginatulo-sing-diutay,scanty stool,scanty stool,Gastroenterology,Low,constipation;stool
ginatulo sing grabe,ginatulo-sing-grabe,severe diarrhea,severe diarrhea,Gastroenterology,High,diarrhea;dehydration
ginalain tiyan,sakit tiyan;sakit tyan;masakit tiyan;panakit tiyan;sakit sikmura;masakit sikmura;ginasakit tiyan;ginalain-tiyan;ginalain tyan,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
ginasakit tiyan,sakit tiyan;sakit tyan;masakit tiyan;ginalain tiyan;panakit tiyan;sakit sikmura;masakit sikmura;ginasakit tyan;ginasakit-tiyan,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
masakit sikmura,sakit tiyan;sakit tyan;masakit tiyan;ginalain tiyan;panakit tiyan;sakit sikmura;ginasakit tiyan;masakit-sikmura;nagmasakit sikmura;ginmasakit sikmura;may masakit sikmura,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
masakit tiyan,sakit tiyan;sakit tyan;ginalain tiyan;panakit tiyan;sakit sikmura;masakit sikmura;ginasakit tiyan;masakit tyan;nagmasakit tiyan;masakit-tiyan;may masakit tiyan;ginmasakit tiyan,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
panakit tiyan,sakit tiyan;sakit tyan;masakit tiyan;ginalain tiyan;sakit sikmura;masakit sikmura;ginasakit tiyan;panakit-tiyan;may panakit tiyan;panakit tyan;ginpanakit tiyan;nagpanakit tiyan,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
sakit sikmura,sakit tiyan;sakit tyan;masakit tiyan;ginalain tiyan;panakit tiyan;masakit sikmura;ginasakit tiyan;sakit-sikmura;nagsakit sikmura;ginsakit sikmura;may sakit sikmura,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
sakit tiyan,sakit tyan;masakit tiyan;ginalain tiyan;panakit tiyan;sakit sikmura;masakit sikmura;ginasakit tiyan;ginsakit tiyan;nagsakit tiyan;sakit-tiyan;may sakit tiyan,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
sakit tyan,sakit tiyan;masakit tiyan;ginalain tiyan;panakit tiyan;sakit sikmura;masakit sikmura;ginasakit tiyan;ginsakit tyan;sakit-tyan;nagsakit tyan;may sakit tyan,stomach pain,abdominal pain,Gastroenterology,Medium,stomach;abdomen;pain;gi
ginatulo sing dugo kag ulcer,ginatulo-sing-dugo-kag-ulcer,ulcer bleeding,peptic ulcer bleeding,Gastroenterology,Critical,ulcer;blood;gi
ginagsuka,suka;nagsuka;nagsusuka;sumuka;ginasuka;sige ko suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
ginasuka,suka;nagsuka;nagsusuka;sumuka;ginagsuka;sige ko suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
nagsuka,suka;nagsusuka;sumuka;ginagsuka;ginasuka;sige ko suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
nagsusuka,suka;nagsuka;sumuka;ginagsuka;ginasuka;sige ko suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
sige ko suka,suka;nagsuka;nagsusuka;sumuka;ginagsuka;ginasuka;sige-ko-suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
suka,nagsuka;nagsusuka;sumuka;ginagsuka;ginasuka;sige ko suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
sumuka,suka;nagsuka;nagsusuka;ginagsuka;ginasuka;sige ko suka,vomiting,vomiting,Gastroenterology,Medium,vomit;nausea;gi
ginadula timbang tungod suka,weight loss vomiting;ginadula-timbang-tungod-suka,weight loss with vomiting,malnutrition,Gastroenterology,Medium,vomit;weight;dehydration
weight loss vomiting,ginadula timbang tungod suka;weight-loss-vomiting,weight loss with vomiting,malnutrition,Gastroenterology,Medium,vomit;weight;dehydration
anemia,kulang dugo;low blood,anemia,anemia,General Medicine,Medium,anemia;blood;pale;fatigue
kulang dugo,anemia;low blood;ginkulang dugo;may kulang dugo;nagkulang dugo;kulang-dugo,anemia,anemia,General Medicine,Medium,anemia;blood;pale;fatigue
low blood,anemia;kulang dugo;low-blood,anemia,anemia,General Medicine,Medium,anemia;blood;pale;fatigue
ginatulo sing dugo kag biopsy,ginatulo-sing-dugo-kag-biopsy,biopsy bleeding,procedure bleeding,General Medicine,Medium,blood;biopsy;procedure
ginatulo sing dugo kag ngipon,ginatulo-sing-dugo-kag-ngipon,bleeding gums,gingival bleeding,General Medicine,Low,blood;gums;dental
body ache,ginahapdi lawas;masakit lawas gid;body-ache,body aches,myalgia,General Medicine,Low,ache;body;muscle;flu
ginahapdi lawas,body ache;masakit lawas gid;ginahapdi-lawas,body aches,myalgia,General Medicine,Low,ache;body;muscle;flu
masakit lawas gid,ginahapdi lawas;body ache;nagmasakit lawas gid;ginmasakit lawas gid;may masakit lawas gid;masakit-lawas-gid,body aches,myalgia,General Medicine,Low,ache;body;muscle;flu
chills,ginatugnaw;tugnaw;ginatugnaw lawas;ginakaligtan,chills,chills,General Medicine,Low,chills;fever;cold
ginakaligtan,ginatugnaw;tugnaw;ginatugnaw lawas;chills,chills,chills,General Medicine,Low,chills;fever;cold
ginatugnaw,tugnaw;ginatugnaw lawas;ginakaligtan;chills,chills,chills,General Medicine,Low,chills;fever;cold
ginatugnaw lawas,ginatugnaw;tugnaw;ginakaligtan;chills;ginatugnaw-lawas,chills,chills,General Medicine,Low,chills;fever;cold
tugnaw,ginatugnaw;ginatugnaw lawas;ginakaligtan;chills,chills,chills,General Medicine,Low,chills;fever;cold
ginatulo sing dugo kag tooth extraction,ginatulo-sing-dugo-kag-tooth-extraction,dental bleeding,post-extraction hemorrhage,General Medicine,Low,blood;dental;tooth
diabetes,diyabetes;diabetis;may sugar;high sugar;mataas nga asukal,diabetes,diabetes mellitus,General Medicine,Medium,diabetes;sugar;thirst;urine
