hiligaynon_term,english_term,medical_category,severity,triage_level,status,body_part,symptom
39 hilanat ko titi,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko gid titi,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko grabe titi,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko grabe gid titi,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko sa titi ko,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko sa titi akon,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko sa titi ko akon,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko sa titi akon ko,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko titi ko,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko titi akon,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko titi ko akon,breast high fever,general,Moderate,urgent,active,breast,high fever
may 39 hilanat ko titi akon ko,breast high fever,general,Moderate,urgent,active,breast,high fever
titi ko 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
titi akon 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
titi ko akon 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
titi akon ko 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
ko titi 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
akon titi 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
ko akon titi 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
akon ko titi 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko gid ko titi,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko gid akon titi,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko gid ko akon titi,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko gid akon ko titi,breast high fever,general,Moderate,urgent,active,breast,high fever
gid 39 hilanat ko titi ko,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe 39 hilanat ko titi ko,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe gid 39 hilanat ko titi ko,breast high fever,general,Moderate,urgent,active,breast,high fever
gid 39 hilanat ko titi akon,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe 39 hilanat ko titi akon,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe gid 39 hilanat ko titi akon,breast high fever,general,Moderate,urgent,active,breast,high fever
gid 39 hilanat ko titi ko akon,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe 39 hilanat ko titi ko akon,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe gid 39 hilanat ko titi ko akon,breast high fever,general,Moderate,urgent,active,breast,high fever
gid 39 hilanat ko titi akon ko,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe 39 hilanat ko titi akon ko,breast high fever,general,Moderate,urgent,active,breast,high fever
grabe gid 39 hilanat ko titi akon ko,breast high fever,general,Moderate,urgent,active,breast,high fever
titi 39 hilanat ko,breast high fever,general,Moderate,urgent,active,breast,high fever
39 hilanat ko ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ko ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko akon ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ko akon ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko akon ko ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe gid ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe gid ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe gid ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe gid ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko grabe gid ari,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko sa ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko sa ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko sa ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko sa ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
may 39 hilanat ko ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ari ko 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ari akon 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ari ko akon 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ari akon ko 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ko ari 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
akon ari 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ko akon ari 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
akon ko ari 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ko ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid akon ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid ko akon ari,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko gid akon ko ari,penis high fever,general,Moderate,urgent,active,penis,high fever
gid 39 hilanat ko ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe 39 hilanat ko ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe gid 39 hilanat ko ari ko,penis high fever,general,Moderate,urgent,active,penis,high fever
gid 39 hilanat ko ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe 39 hilanat ko ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe gid 39 hilanat ko ari akon,penis high fever,general,Moderate,urgent,active,penis,high fever
gid 39 hilanat ko ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe 39 hilanat ko ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe gid 39 hilanat ko ari ko akon,penis high fever,general,Moderate,urgent,active,penis,high fever
gid 39 hilanat ko ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe 39 hilanat ko ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
grabe gid 39 hilanat ko ari akon ko,penis high fever,general,Moderate,urgent,active,penis,high fever
ari 39 hilanat ko,penis high fever,general,Moderate,urgent,active,penis,high fever
39 hilanat ko ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ko ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko akon ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ko akon ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko akon ko ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe gid ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe gid ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe gid ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe gid ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko grabe gid ulo,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko sa ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko sa ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko sa ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko sa ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
may 39 hilanat ko ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
ulo ko 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
ulo akon 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
ulo ko akon 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
ulo akon ko 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
ko ulo 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
akon ulo 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
ko akon ulo 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
akon ko ulo 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ko ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid akon ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid ko akon ulo,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko gid akon ko ulo,head high fever,general,Moderate,urgent,active,head,high fever
gid 39 hilanat ko ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
grabe 39 hilanat ko ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
grabe gid 39 hilanat ko ulo ko,head high fever,general,Moderate,urgent,active,head,high fever
gid 39 hilanat ko ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
grabe 39 hilanat ko ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
grabe gid 39 hilanat ko ulo akon,head high fever,general,Moderate,urgent,active,head,high fever
gid 39 hilanat ko ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
grabe 39 hilanat ko ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
grabe gid 39 hilanat ko ulo ko akon,head high fever,general,Moderate,urgent,active,head,high fever
gid 39 hilanat ko ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
grabe 39 hilanat ko ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
grabe gid 39 hilanat ko ulo akon ko,head high fever,general,Moderate,urgent,active,head,high fever
ulo 39 hilanat ko,head high fever,general,Moderate,urgent,active,head,high fever
39 hilanat ko ko,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko akon,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko ko akon,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko gid ko,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko grabe ko,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko gid akon,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko grabe akon,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko gid ko akon,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko grabe ko akon,high fever,general,Moderate,urgent,active,,high fever
39 hilanat ko,high fever,general,Moderate,urgent,active,,high fever
gid 39 hilanat ko ko,high fever,general,Moderate,urgent,active,,high fever
grabe 39 hilanat ko ko,high fever,general,Moderate,urgent,active,,high fever
gid 39 hilanat ko akon,high fever,general,Moderate,urgent,active,,high fever
grabe 39 hilanat ko akon,high fever,general,Moderate,urgent,active,,high fever
gid 39 hilanat ko ko akon,high fever,general,Moderate,urgent,active,,high fever
grabe 39 hilanat ko ko akon,high fever,general,Moderate,urgent,active,,high fever
nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,,vehicle collision injury
3 ka adlaw na nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,,vehicle collision injury
5 ka adlaw na nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,,vehicle collision injury
dugay na nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,,vehicle collision injury
bag-o lang nabunggo ko sa salakyan,vehicle collision,trauma,Critical,emergency,active,,vehicle collision injury
nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,,vehicle collision injury
3 ka adlaw na nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,,vehicle collision injury
5 ka adlaw na nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,,vehicle collision injury
dugay na nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,,vehicle collision injury
bag-o lang nabunggo sa salakyan,vehicle collision injury,trauma,Critical,emergency,active,,vehicle collision injury
naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko akon ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe gid talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe gid talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe gid talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe gid talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko grabe gid talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko sa talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko sa talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko sa talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko sa talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
may naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
talukap mata ko naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
talukap mata akon naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
talukap mata ko akon naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
talukap mata akon ko naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
ko talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
akon talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
ko akon talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
akon ko talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko gid akon ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
gid naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe gid naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
gid naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe gid naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
gid naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe gid naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
gid naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
grabe gid naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,eyelid,vehicle collision injury
naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko ko bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko akon bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko ko akon bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko akon ko bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe gid bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe gid bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe gid bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe gid bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko grabe gid bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko sa bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko sa bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko sa bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko sa bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
may naaksidente ko bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
bukongbukong ko naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
bukongbukong akon naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
bukongbukong ko akon naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
bukongbukong akon ko naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
ko bukongbukong naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
akon bukongbukong naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
ko akon bukongbukong naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
akon ko bukongbukong naaksidente ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid ko bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid akon bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid ko akon bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
naaksidente ko gid akon ko bukongbukong,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
gid naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe gid naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
gid naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe gid naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
gid naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe gid naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
gid naaksidente ko bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
grabe naaksidente ko bukongbukong akon ko,ankle vehicle collision injury,trauma,Critical,emergency,active,ankle,vehicle collision injury
