text,english_meaning,body_location_en,body_location_hiligaynon,symptom_en,symptom_hiligaynon
may kasakit kon mahaplas ako sa tuo nga gamay nga mata,my right mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon tuo nga gamay nga mata may kasakit kon mahaplas,my right mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon tuo nga grabe nga mata kasakit kon mahaplas,my right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa tuo nga grabe nga mata,my right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon tuo nga grabe nga mata may kasakit kon mahaplas,my right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon tuo nga gulpi nga mata kasakit kon mahaplas,my right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa tuo nga gulpi nga mata,my right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon tuo nga gulpi nga mata may kasakit kon mahaplas,my right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon tuo nga padayon nga mata kasakit kon mahaplas,my right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa tuo nga padayon nga mata,my right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon tuo nga padayon nga mata may kasakit kon mahaplas,my right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon tuo nga pabalik-balik nga mata kasakit kon mahaplas,my right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa tuo nga pabalik-balik nga mata,my right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon tuo nga pabalik-balik nga mata may kasakit kon mahaplas,my right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon wala nga mata kasakit kon mahaplas,my left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa wala nga mata,my left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon wala nga mata may kasakit kon mahaplas,my left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon wala nga gamay nga mata kasakit kon mahaplas,my left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa wala nga gamay nga mata,my left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon wala nga gamay nga mata may kasakit kon mahaplas,my left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon wala nga grabe nga mata kasakit kon mahaplas,my left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa wala nga grabe nga mata,my left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon wala nga grabe nga mata may kasakit kon mahaplas,my left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon wala nga gulpi nga mata kasakit kon mahaplas,my left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa wala nga gulpi nga mata,my left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon wala nga gulpi nga mata may kasakit kon mahaplas,my left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon wala nga padayon nga mata kasakit kon mahaplas,my left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa wala nga padayon nga mata,my left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon wala nga padayon nga mata may kasakit kon mahaplas,my left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon wala nga pabalik-balik nga mata kasakit kon mahaplas,my left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa wala nga pabalik-balik nga mata,my left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon wala nga pabalik-balik nga mata may kasakit kon mahaplas,my left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon pareho nga mata kasakit kon mahaplas,my both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa pareho nga mata,my both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon pareho nga mata may kasakit kon mahaplas,my both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon pareho nga gamay nga mata kasakit kon mahaplas,my both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa pareho nga gamay nga mata,my both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon pareho nga gamay nga mata may kasakit kon mahaplas,my both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon pareho nga grabe nga mata kasakit kon mahaplas,my both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa pareho nga grabe nga mata,my both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon pareho nga grabe nga mata may kasakit kon mahaplas,my both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon pareho nga gulpi nga mata kasakit kon mahaplas,my both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa pareho nga gulpi nga mata,my both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon pareho nga gulpi nga mata may kasakit kon mahaplas,my both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon pareho nga padayon nga mata kasakit kon mahaplas,my both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa pareho nga padayon nga mata,my both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon pareho nga padayon nga mata may kasakit kon mahaplas,my both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon pareho nga pabalik-balik nga mata kasakit kon mahaplas,my both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
may kasakit kon mahaplas ako sa pareho nga pabalik-balik nga mata,my both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang akon pareho nga pabalik-balik nga mata may kasakit kon mahaplas,my both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo mata kasakit kon mahaplas,your eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo mata may kasakit kon mahaplas,your eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo mata may kasakit kon mahaplas,your eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo gamay nga mata kasakit kon mahaplas,your mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo gamay nga mata may kasakit kon mahaplas,your mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo grabe nga mata kasakit kon mahaplas,your severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo grabe nga mata may kasakit kon mahaplas,your severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo gulpi nga mata kasakit kon mahaplas,your sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo gulpi nga mata may kasakit kon mahaplas,your sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo padayon nga mata kasakit kon mahaplas,your persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo padayon nga mata may kasakit kon mahaplas,your persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pabalik-balik nga mata kasakit kon mahaplas,your intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pabalik-balik nga mata may kasakit kon mahaplas,your intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo tuo nga mata kasakit kon mahaplas,your right eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo tuo nga mata may kasakit kon mahaplas,your right eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo tuo nga gamay nga mata kasakit kon mahaplas,your right mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo tuo nga gamay nga mata may kasakit kon mahaplas,your right mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo tuo nga grabe nga mata kasakit kon mahaplas,your right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo tuo nga grabe nga mata may kasakit kon mahaplas,your right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo tuo nga gulpi nga mata kasakit kon mahaplas,your right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo tuo nga gulpi nga mata may kasakit kon mahaplas,your right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo tuo nga padayon nga mata kasakit kon mahaplas,your right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo tuo nga padayon nga mata may kasakit kon mahaplas,your right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo tuo nga pabalik-balik nga mata kasakit kon mahaplas,your right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo tuo nga pabalik-balik nga mata may kasakit kon mahaplas,your right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo wala nga mata kasakit kon mahaplas,your left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo wala nga mata may kasakit kon mahaplas,your left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo wala nga gamay nga mata kasakit kon mahaplas,your left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo wala nga gamay nga mata may kasakit kon mahaplas,your left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo wala nga grabe nga mata kasakit kon mahaplas,your left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo wala nga grabe nga mata may kasakit kon mahaplas,your left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo wala nga gulpi nga mata kasakit kon mahaplas,your left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo wala nga gulpi nga mata may kasakit kon mahaplas,your left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo wala nga padayon nga mata kasakit kon mahaplas,your left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo wala nga padayon nga mata may kasakit kon mahaplas,your left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo wala nga pabalik-balik nga mata kasakit kon mahaplas,your left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo wala nga pabalik-balik nga mata may kasakit kon mahaplas,your left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pareho nga mata kasakit kon mahaplas,your both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pareho nga mata may kasakit kon mahaplas,your both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pareho nga gamay nga mata kasakit kon mahaplas,your both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pareho nga gamay nga mata may kasakit kon mahaplas,your both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pareho nga grabe nga mata kasakit kon mahaplas,your both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pareho nga grabe nga mata may kasakit kon mahaplas,your both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pareho nga gulpi nga mata kasakit kon mahaplas,your both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pareho nga gulpi nga mata may kasakit kon mahaplas,your both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pareho nga padayon nga mata kasakit kon mahaplas,your both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pareho nga padayon nga mata may kasakit kon mahaplas,your both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
imo pareho nga pabalik-balik nga mata kasakit kon mahaplas,your both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang imo pareho nga pabalik-balik nga mata may kasakit kon mahaplas,your both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya mata kasakit kon mahaplas,his/her eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya mata may kasakit kon mahaplas,his/her eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya mata may kasakit kon mahaplas,his/her eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya gamay nga mata kasakit kon mahaplas,his/her mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya gamay nga mata may kasakit kon mahaplas,his/her mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya grabe nga mata kasakit kon mahaplas,his/her severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya grabe nga mata may kasakit kon mahaplas,his/her severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya gulpi nga mata kasakit kon mahaplas,his/her sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya gulpi nga mata may kasakit kon mahaplas,his/her sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya padayon nga mata kasakit kon mahaplas,his/her persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya padayon nga mata may kasakit kon mahaplas,his/her persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pabalik-balik nga mata kasakit kon mahaplas,his/her intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pabalik-balik nga mata may kasakit kon mahaplas,his/her intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya tuo nga mata kasakit kon mahaplas,his/her right eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya tuo nga mata may kasakit kon mahaplas,his/her right eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya tuo nga gamay nga mata kasakit kon mahaplas,his/her right mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya tuo nga gamay nga mata may kasakit kon mahaplas,his/her right mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya tuo nga grabe nga mata kasakit kon mahaplas,his/her right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya tuo nga grabe nga mata may kasakit kon mahaplas,his/her right severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya tuo nga gulpi nga mata kasakit kon mahaplas,his/her right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya tuo nga gulpi nga mata may kasakit kon mahaplas,his/her right sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya tuo nga padayon nga mata kasakit kon mahaplas,his/her right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya tuo nga padayon nga mata may kasakit kon mahaplas,his/her right persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya tuo nga pabalik-balik nga mata kasakit kon mahaplas,his/her right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya tuo nga pabalik-balik nga mata may kasakit kon mahaplas,his/her right intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya wala nga mata kasakit kon mahaplas,his/her left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya wala nga mata may kasakit kon mahaplas,his/her left eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya wala nga gamay nga mata kasakit kon mahaplas,his/her left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya wala nga gamay nga mata may kasakit kon mahaplas,his/her left mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya wala nga grabe nga mata kasakit kon mahaplas,his/her left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya wala nga grabe nga mata may kasakit kon mahaplas,his/her left severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya wala nga gulpi nga mata kasakit kon mahaplas,his/her left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya wala nga gulpi nga mata may kasakit kon mahaplas,his/her left sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya wala nga padayon nga mata kasakit kon mahaplas,his/her left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya wala nga padayon nga mata may kasakit kon mahaplas,his/her left persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya wala nga pabalik-balik nga mata kasakit kon mahaplas,his/her left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya wala nga pabalik-balik nga mata may kasakit kon mahaplas,his/her left intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pareho nga mata kasakit kon mahaplas,his/her both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pareho nga mata may kasakit kon mahaplas,his/her both eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pareho nga gamay nga mata kasakit kon mahaplas,his/her both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pareho nga gamay nga mata may kasakit kon mahaplas,his/her both mild eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pareho nga grabe nga mata kasakit kon mahaplas,his/her both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pareho nga grabe nga mata may kasakit kon mahaplas,his/her both severe eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pareho nga gulpi nga mata kasakit kon mahaplas,his/her both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pareho nga gulpi nga mata may kasakit kon mahaplas,his/her both sudden eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pareho nga padayon nga mata kasakit kon mahaplas,his/her both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pareho nga padayon nga mata may kasakit kon mahaplas,his/her both persistent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
iya pareho nga pabalik-balik nga mata kasakit kon mahaplas,his/her both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
ang iya pareho nga pabalik-balik nga mata may kasakit kon mahaplas,his/her both intermittent eye tenderness,eye,mata,tenderness,kasakit kon mahaplas
akon mata pagdugo,my eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa mata,my eye bleeding,eye,mata,bleeding,pagdugo
ang akon mata may pagdugo,my eye bleeding,eye,mata,bleeding,pagdugo
akon mata may pagdugo,my eye bleeding,eye,mata,bleeding,pagdugo
akon gamay nga mata pagdugo,my mild eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa gamay nga mata,my mild eye bleeding,eye,mata,bleeding,pagdugo
ang akon gamay nga mata may pagdugo,my mild eye bleeding,eye,mata,bleeding,pagdugo
akon grabe nga mata pagdugo,my severe eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa grabe nga mata,my severe eye bleeding,eye,mata,bleeding,pagdugo
ang akon grabe nga mata may pagdugo,my severe eye bleeding,eye,mata,bleeding,pagdugo
akon gulpi nga mata pagdugo,my sudden eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa gulpi nga mata,my sudden eye bleeding,eye,mata,bleeding,pagdugo
ang akon gulpi nga mata may pagdugo,my sudden eye bleeding,eye,mata,bleeding,pagdugo
akon padayon nga mata pagdugo,my persistent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa padayon nga mata,my persistent eye bleeding,eye,mata,bleeding,pagdugo
ang akon padayon nga mata may pagdugo,my persistent eye bleeding,eye,mata,bleeding,pagdugo
akon pabalik-balik nga mata pagdugo,my intermittent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pabalik-balik nga mata,my intermittent eye bleeding,eye,mata,bleeding,pagdugo
ang akon pabalik-balik nga mata may pagdugo,my intermittent eye bleeding,eye,mata,bleeding,pagdugo
akon tuo nga mata pagdugo,my right eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa tuo nga mata,my right eye bleeding,eye,mata,bleeding,pagdugo
ang akon tuo nga mata may pagdugo,my right eye bleeding,eye,mata,bleeding,pagdugo
akon tuo nga gamay nga mata pagdugo,my right mild eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa tuo nga gamay nga mata,my right mild eye bleeding,eye,mata,bleeding,pagdugo
ang akon tuo nga gamay nga mata may pagdugo,my right mild eye bleeding,eye,mata,bleeding,pagdugo
akon tuo nga grabe nga mata pagdugo,my right severe eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa tuo nga grabe nga mata,my right severe eye bleeding,eye,mata,bleeding,pagdugo
ang akon tuo nga grabe nga mata may pagdugo,my right severe eye bleeding,eye,mata,bleeding,pagdugo
akon tuo nga gulpi nga mata pagdugo,my right sudden eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa tuo nga gulpi nga mata,my right sudden eye bleeding,eye,mata,bleeding,pagdugo
ang akon tuo nga gulpi nga mata may pagdugo,my right sudden eye bleeding,eye,mata,bleeding,pagdugo
akon tuo nga padayon nga mata pagdugo,my right persistent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa tuo nga padayon nga mata,my right persistent eye bleeding,eye,mata,bleeding,pagdugo
ang akon tuo nga padayon nga mata may pagdugo,my right persistent eye bleeding,eye,mata,bleeding,pagdugo
akon tuo nga pabalik-balik nga mata pagdugo,my right intermittent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa tuo nga pabalik-balik nga mata,my right intermittent eye bleeding,eye,mata,bleeding,pagdugo
ang akon tuo nga pabalik-balik nga mata may pagdugo,my right intermittent eye bleeding,eye,mata,bleeding,pagdugo
akon wala nga mata pagdugo,my left eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa wala nga mata,my left eye bleeding,eye,mata,bleeding,pagdugo
ang akon wala nga mata may pagdugo,my left eye bleeding,eye,mata,bleeding,pagdugo
akon wala nga gamay nga mata pagdugo,my left mild eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa wala nga gamay nga mata,my left mild eye bleeding,eye,mata,bleeding,pagdugo
ang akon wala nga gamay nga mata may pagdugo,my left mild eye bleeding,eye,mata,bleeding,pagdugo
akon wala nga grabe nga mata pagdugo,my left severe eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa wala nga grabe nga mata,my left severe eye bleeding,eye,mata,bleeding,pagdugo
ang akon wala nga grabe nga mata may pagdugo,my left severe eye bleeding,eye,mata,bleeding,pagdugo
akon wala nga gulpi nga mata pagdugo,my left sudden eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa wala nga gulpi nga mata,my left sudden eye bleeding,eye,mata,bleeding,pagdugo
ang akon wala nga gulpi nga mata may pagdugo,my left sudden eye bleeding,eye,mata,bleeding,pagdugo
akon wala nga padayon nga mata pagdugo,my left persistent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa wala nga padayon nga mata,my left persistent eye bleeding,eye,mata,bleeding,pagdugo
ang akon wala nga padayon nga mata may pagdugo,my left persistent eye bleeding,eye,mata,bleeding,pagdugo
akon wala nga pabalik-balik nga mata pagdugo,my left intermittent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa wala nga pabalik-balik nga mata,my left intermittent eye bleeding,eye,mata,bleeding,pagdugo
ang akon wala nga pabalik-balik nga mata may pagdugo,my left intermittent eye bleeding,eye,mata,bleeding,pagdugo
akon pareho nga mata pagdugo,my both eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pareho nga mata,my both eye bleeding,eye,mata,bleeding,pagdugo
ang akon pareho nga mata may pagdugo,my both eye bleeding,eye,mata,bleeding,pagdugo
akon pareho nga gamay nga mata pagdugo,my both mild eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pareho nga gamay nga mata,my both mild eye bleeding,eye,mata,bleeding,pagdugo
ang akon pareho nga gamay nga mata may pagdugo,my both mild eye bleeding,eye,mata,bleeding,pagdugo
akon pareho nga grabe nga mata pagdugo,my both severe eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pareho nga grabe nga mata,my both severe eye bleeding,eye,mata,bleeding,pagdugo
ang akon pareho nga grabe nga mata may pagdugo,my both severe eye bleeding,eye,mata,bleeding,pagdugo
akon pareho nga gulpi nga mata pagdugo,my both sudden eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pareho nga gulpi nga mata,my both sudden eye bleeding,eye,mata,bleeding,pagdugo
ang akon pareho nga gulpi nga mata may pagdugo,my both sudden eye bleeding,eye,mata,bleeding,pagdugo
akon pareho nga padayon nga mata pagdugo,my both persistent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pareho nga padayon nga mata,my both persistent eye bleeding,eye,mata,bleeding,pagdugo
ang akon pareho nga padayon nga mata may pagdugo,my both persistent eye bleeding,eye,mata,bleeding,pagdugo
akon pareho nga pabalik-balik nga mata pagdugo,my both intermittent eye bleeding,eye,mata,bleeding,pagdugo
may pagdugo ako sa pareho nga pabalik-balik nga mata,my both intermittent eye bleeding,eye,mata,bleeding,pagdugo
ang akon pareho nga pabalik-balik nga mata may pagdugo,my both intermittent eye bleeding,eye,mata,bleeding,pagdugo
imo mata pagdugo,your eye bleeding,eye,mata,bleeding,pagdugo
ang imo mata may pagdugo,your eye bleeding,eye,mata,bleeding,pagdugo
imo mata may pagdugo,your eye bleeding,eye,mata,bleeding,pagdugo
imo gamay nga mata pagdugo,your mild eye bleeding,eye,mata,bleeding,pagdugo
ang imo gamay nga mata may pagdugo,your mild eye bleeding,eye,mata,bleeding,pagdugo
imo grabe nga mata pagdugo,your severe eye bleeding,eye,mata,bleeding,pagdugo
ang imo grabe nga mata may pagdugo,your severe eye bleeding,eye,mata,bleeding,pagdugo
imo gulpi nga mata pagdugo,your sudden eye bleeding,eye,mata,bleeding,pagdugo
ang imo gulpi nga mata may pagdugo,your sudden eye bleeding,eye,mata,bleeding,pagdugo
imo padayon nga mata pagdugo,your persistent eye bleeding,eye,mata,bleeding,pagdugo
ang imo padayon nga mata may pagdugo,your persistent eye bleeding,eye,mata,bleeding,pagdugo
imo pabalik-balik nga mata pagdugo,your intermittent eye bleeding,eye,mata,bleeding,pagdugo
ang imo pabalik-balik nga mata may pagdugo,your intermittent eye bleeding,eye,mata,bleeding,pagdugo
imo tuo nga mata pagdugo,your right eye bleeding,eye,mata,bleeding,pagdugo
ang imo tuo nga mata may pagdugo,your right eye bleeding,eye,mata,bleeding,pagdugo
imo tuo nga gamay nga mata pagdugo,your right mild eye bleeding,eye,mata,bleeding,pagdugo
ang imo tuo nga gamay nga mata may pagdugo,your right mild eye bleeding,eye,mata,bleeding,pagdugo
imo tuo nga grabe nga mata pagdugo,your right severe eye bleeding,eye,mata,bleeding,pagdugo
ang imo tuo nga grabe nga mata may pagdugo,your right severe eye bleeding,eye,mata,bleeding,pagdugo
imo tuo nga gulpi nga mata pagdugo,your right sudden eye bleeding,eye,mata,bleeding,pagdugo
ang imo tuo nga gulpi nga mata may pagdugo,your right sudden eye bleeding,eye,mata,bleeding,pagdugo
imo tuo nga padayon nga mata pagdugo,your right persistent eye bleeding,eye,mata,bleeding,pagdugo
ang imo tuo nga padayon nga mata may pagdugo,your right persistent eye bleeding,eye,mata,bleeding,pagdugo
imo tuo nga pabalik-balik nga mata pagdugo,your right intermittent eye bleeding,eye,mata,bleeding,pagdugo
ang imo tuo nga pabalik-balik nga mata may pagdugo,your right intermittent eye bleeding,eye,mata,bleeding,pagdugo
imo wala nga mata pagdugo,your left eye bleeding,eye,mata,bleeding,pagdugo
ang imo wala nga mata may pagdugo,your left eye bleeding,eye,mata,bleeding,pagdugo
imo wala nga gamay nga mata pagdugo,your left mild eye bleeding,eye,mata,bleeding,pagdugo
