phrase,english,concept,language,status
abnormal bronchoalveolar lavage fluid morphology,Abnormal Bronchoalveolar Lavage Fluid Morphology,abnormal_bronchoalveolar_lavage_fluid_morphology,english,active
abnormal bronchus morphology,Abnormal Bronchus Morphology,abnormal_bronchus_morphology,english,active
abnormal bronchus physiology,Abnormal Bronchus Physiology,abnormal_bronchus_physiology,english,active
abnormal buccal fat pad morphology,Abnormal Buccal Fat Pad Morphology,abnormal_buccal_fat_pad_morphology,english,active
abnormal buccal mucosa cell morphology,Abnormal Buccal Mucosa Cell Morphology,abnormal_buccal_mucosa_cell_morphology,english,active
abnormal buccal mucosa morphology,Abnormal Buccal Mucosa Morphology,abnormal_buccal_mucosa_morphology,english,active
abnormal bulbus cordis morphology,Abnormal Bulbus Cordis Morphology,abnormal_bulbus_cordis_morphology,english,active
abnormal bun concentration,Abnormal BUN Concentration,abnormal_bun_concentration,english,active
abnormal bursal fluid morphology,Abnormal Bursal Fluid Morphology,abnormal_bursal_fluid_morphology,english,active
abnormal c peptide level,Abnormal C Peptide Level,abnormal_c_peptide_level,english,active
abnormal c-reactive protein level,Abnormal C-reactive Protein Level,abnormal_c-reactive_protein_level,english,active
abnormal ca-phos regulating hormone level,Abnormal Ca-PHOS Regulating Hormone Level,abnormal_ca-phos_regulating_hormone_level,english,active
abnormal ca2+ po4 regulating hormone level,Abnormal Ca2+ PO4 Regulating Hormone Level,abnormal_ca2+_po4_regulating_hormone_level,english,active
abnormal caecum morphology,Abnormal Caecum Morphology,abnormal_caecum_morphology,english,active
abnormal calcification of the carpal bones,Abnormal Calcification of the Carpal Bones,abnormal_calcification_of_the_carpal_bones,english,active
abnormal calcification of the wrist bones,Abnormal Calcification of the Wrist Bones,abnormal_calcification_of_the_wrist_bones,english,active
abnormal calf muscles,Abnormal Calf Muscles,abnormal_calf_muscles,english,active
abnormal calf musculature morphology,Abnormal Calf Musculature Morphology,abnormal_calf_musculature_morphology,english,active
abnormal calvaria morphology,Abnormal Calvaria Morphology,abnormal_calvaria_morphology,english,active
abnormal capillary morphology,Abnormal Capillary Morphology,abnormal_capillary_morphology,english,active
abnormal capillary physiology,Abnormal Capillary Physiology,abnormal_capillary_physiology,english,active
abnormal capitate bone morphology,Abnormal Capitate Bone Morphology,abnormal_capitate_bone_morphology,english,active
abnormal carbon dioxide level in cord blood,Abnormal Carbon Dioxide Level in Cord Blood,abnormal_carbon_dioxide_level_in_cord_blood,english,active
abnormal cardiac atrial physiology,Abnormal Cardiac Atrial Physiology,abnormal_cardiac_atrial_physiology,english,active
abnormal cardiac atrium morphology,Abnormal Cardiac Atrium Morphology,abnormal_cardiac_atrium_morphology,english,active
abnormal cardiac biomarker test,Abnormal Cardiac Biomarker Test,abnormal_cardiac_biomarker_test,english,active
abnormal cardiac cath,Abnormal Cardiac Cath,abnormal_cardiac_cath,english,active
abnormal cardiac catheterization,Abnormal Cardiac Catheterization,abnormal_cardiac_catheterization,english,active
abnormal cardiac exercise stress test,Abnormal Cardiac Exercise Stress Test,abnormal_cardiac_exercise_stress_test,english,active
abnormal cardiac exercise test,Abnormal Cardiac Exercise Test,abnormal_cardiac_exercise_test,english,active
abnormal cardiac index,Abnormal Cardiac Index,abnormal_cardiac_index,english,active
abnormal cardiac magnetic resonance imaging,Abnormal Cardiac Magnetic Resonance Imaging,abnormal_cardiac_magnetic_resonance_imaging,english,active
abnormal cardiac magnetic resonance imaging finding,Abnormal Cardiac Magnetic Resonance Imaging Finding,abnormal_cardiac_magnetic_resonance_imaging_finding,english,active
abnormal cardiac mri,Abnormal Cardiac MRI,abnormal_cardiac_mri,english,active
abnormal cardiac muscle cell morphology,Abnormal Cardiac Muscle Cell Morphology,abnormal_cardiac_muscle_cell_morphology,english,active
abnormal cardiac output,Abnormal Cardiac Output,abnormal_cardiac_output,english,active
abnormal cardiac septum morphology,Abnormal Cardiac Septum Morphology,abnormal_cardiac_septum_morphology,english,active
abnormal cardiac test,Abnormal Cardiac Test,abnormal_cardiac_test,english,active
abnormal cardiac ventricle morphology,Abnormal Cardiac Ventricle Morphology,abnormal_cardiac_ventricle_morphology,english,active
abnormal cardiac ventricular function,Abnormal Cardiac Ventricular Function,abnormal_cardiac_ventricular_function,english,active
abnormal cardiomyocyte connexin43 staining,Abnormal Cardiomyocyte Connexin43 Staining,abnormal_cardiomyocyte_connexin43_staining,english,active
abnormal cardiomyocyte dystrophin staining,Abnormal Cardiomyocyte Dystrophin Staining,abnormal_cardiomyocyte_dystrophin_staining,english,active
abnormal cardiomyocyte mitochondrial morphology,Abnormal Cardiomyocyte Mitochondrial Morphology,abnormal_cardiomyocyte_mitochondrial_morphology,english,active
abnormal cardiomyocyte morphology,Abnormal Cardiomyocyte Morphology,abnormal_cardiomyocyte_morphology,english,active
abnormal cardiomyocyte plakoglobin staining,Abnormal Cardiomyocyte Plakoglobin Staining,abnormal_cardiomyocyte_plakoglobin_staining,english,active
abnormal cardiovascular system morphology,Abnormal Cardiovascular System Morphology,abnormal_cardiovascular_system_morphology,english,active
abnormal cardiovascular system physiology,Abnormal Cardiovascular System Physiology,abnormal_cardiovascular_system_physiology,english,active
abnormal carnosine levels in cerebrospinal fluid,Abnormal Carnosine Levels in Cerebrospinal Fluid,abnormal_carnosine_levels_in_cerebrospinal_fluid,english,active
abnormal carotid artery morphology,Abnormal Carotid Artery Morphology,abnormal_carotid_artery_morphology,english,active
abnormal carpal bones,Abnormal Carpal Bones,abnormal_carpal_bones,english,active
abnormal carpal morphology,Abnormal Carpal Morphology,abnormal_carpal_morphology,english,active
abnormal cartilage collagen,Abnormal Cartilage Collagen,abnormal_cartilage_collagen,english,active
abnormal cartilage matrix,Abnormal Cartilage Matrix,abnormal_cartilage_matrix,english,active
abnormal cartilage morphology,Abnormal Cartilage Morphology,abnormal_cartilage_morphology,english,active
abnormal caudate nucleus morphology,Abnormal Caudate Nucleus Morphology,abnormal_caudate_nucleus_morphology,english,active
abnormal cd25 upregulation upon tcr activation,Abnormal CD25 Upregulation Upon TCR Activation,abnormal_cd25_upregulation_upon_tcr_activation,english,active
abnormal cd4+ memory t cell proportion,Abnormal CD4+ Memory T Cell Proportion,abnormal_cd4+_memory_t_cell_proportion,english,active
abnormal cd4+ t cell proportion,Abnormal CD4+ T Cell Proportion,abnormal_cd4+_t_cell_proportion,english,active
abnormal cd4+ t cell subset,Abnormal CD4+ T Cell Subset,abnormal_cd4+_t_cell_subset,english,active
abnormal cd4+ t cell subset proportion,Abnormal CD4+ T Cell Subset Proportion,abnormal_cd4+_t_cell_subset_proportion,english,active
abnormal cd4+ t cell subsets,Abnormal CD4+ T Cell Subsets,abnormal_cd4+_t_cell_subsets,english,active
abnormal cd4+cd25+ regulatory t cell proportion,Abnormal CD4+CD25+ Regulatory T Cell Proportion,abnormal_cd4+cd25+_regulatory_t_cell_proportion,english,active
abnormal cd4+cd25+ treg cell proportion,Abnormal CD4+CD25+ Treg Cell Proportion,abnormal_cd4+cd25+_treg_cell_proportion,english,active
"abnormal cd4-negative, cd8-negative regulatory t cell distribution","Abnormal CD4-negative, CD8-negative Regulatory T Cell Distribution","abnormal_cd4-negative,_cd8-negative_regulatory_t_cell_distri",english,active
abnormal cd4:cd8 ratio,Abnormal CD4:CD8 Ratio,abnormal_cd4:cd8_ratio,english,active
abnormal cd69 upregulation upon tcr activation,Abnormal CD69 Upregulation Upon TCR Activation,abnormal_cd69_upregulation_upon_tcr_activation,english,active
abnormal cd8+ memory t cell proportion,Abnormal CD8+ Memory T Cell Proportion,abnormal_cd8+_memory_t_cell_proportion,english,active
abnormal cd8+ t cell proportion,Abnormal CD8+ T Cell Proportion,abnormal_cd8+_t_cell_proportion,english,active
abnormal cd8+ t cell subset proportion,Abnormal CD8+ T Cell Subset Proportion,abnormal_cd8+_t_cell_subset_proportion,english,active
abnormal cd8+ t cell subsets,Abnormal CD8+ T Cell Subsets,abnormal_cd8+_t_cell_subsets,english,active
abnormal cd8-positive temra t cell proportion,Abnormal CD8-positive TEMRA T Cell Proportion,abnormal_cd8-positive_temra_t_cell_proportion,english,active
abnormal cecum morphology,Abnormal Cecum Morphology,abnormal_cecum_morphology,english,active
abnormal celiac artery morphology,Abnormal Celiac Artery Morphology,abnormal_celiac_artery_morphology,english,active
abnormal cell differential of broncho-alveolar fluid,Abnormal Cell Differential of Broncho-alveolar Fluid,abnormal_cell_differential_of_broncho-alveolar_fluid,english,active
abnormal cell morphology,Abnormal Cell Morphology,abnormal_cell_morphology,english,active
abnormal cell proliferation,Abnormal Cell Proliferation,abnormal_cell_proliferation,english,active
abnormal cellular composition of bronchoalveolar fluid,Abnormal Cellular Composition of Bronchoalveolar Fluid,abnormal_cellular_composition_of_bronchoalveolar_fluid,english,active
abnormal cellular immune system morphology,Abnormal Cellular Immune System Morphology,abnormal_cellular_immune_system_morphology,english,active
abnormal cellular phenotype,Abnormal Cellular Phenotype,abnormal_cellular_phenotype,english,active
abnormal cellular physiology,Abnormal Cellular Physiology,abnormal_cellular_physiology,english,active
abnormal cementum morphology,Abnormal Cementum Morphology,abnormal_cementum_morphology,english,active
abnormal central memory cd8+ t cell proportion,Abnormal Central Memory CD8+ T Cell Proportion,abnormal_central_memory_cd8+_t_cell_proportion,english,active
abnormal central microtubular pair morphology of respiratory motile cilia,Abnormal Central Microtubular Pair Morphology of Respiratory Motile Cilia,abnormal_central_microtubular_pair_morphology_of_respiratory,english,active
abnormal central motor function,Abnormal Central Motor Function,abnormal_central_motor_function,english,active
abnormal central response of multifocal electroretinogram,Abnormal Central Response of Multifocal Electroretinogram,abnormal_central_response_of_multifocal_electroretinogram,english,active
abnormal central sensory function,Abnormal Central Sensory Function,abnormal_central_sensory_function,english,active
abnormal cerebellar cortex morphology,Abnormal Cerebellar Cortex Morphology,abnormal_cerebellar_cortex_morphology,english,active
abnormal cerebellar peduncle morphology,Abnormal Cerebellar Peduncle Morphology,abnormal_cerebellar_peduncle_morphology,english,active
abnormal cerebellar vermis morphology,Abnormal Cerebellar Vermis Morphology,abnormal_cerebellar_vermis_morphology,english,active
abnormal cerebellum morphology,Abnormal Cerebellum Morphology,abnormal_cerebellum_morphology,english,active
abnormal cerebral artery morphology,Abnormal Cerebral Artery Morphology,abnormal_cerebral_artery_morphology,english,active
abnormal cerebral cortex morphology,Abnormal Cerebral Cortex Morphology,abnormal_cerebral_cortex_morphology,english,active
abnormal cerebral morphology,Abnormal Cerebral Morphology,abnormal_cerebral_morphology,english,active
abnormal cerebral subcortex morphology,Abnormal Cerebral Subcortex Morphology,abnormal_cerebral_subcortex_morphology,english,active
abnormal cerebral vascular morphology,Abnormal Cerebral Vascular Morphology,abnormal_cerebral_vascular_morphology,english,active
abnormal cerebral vein morphology,Abnormal Cerebral Vein Morphology,abnormal_cerebral_vein_morphology,english,active
abnormal cerebral venous sinus morphology,Abnormal Cerebral Venous Sinus Morphology,abnormal_cerebral_venous_sinus_morphology,english,active
abnormal cerebral ventricle morphology,Abnormal Cerebral Ventricle Morphology,abnormal_cerebral_ventricle_morphology,english,active
abnormal cerebral white matter morphology,Abnormal Cerebral White Matter Morphology,abnormal_cerebral_white_matter_morphology,english,active
abnormal cerebrospinal fluid amino acid level,Abnormal Cerebrospinal Fluid Amino Acid Level,abnormal_cerebrospinal_fluid_amino_acid_level,english,active
abnormal cerebrospinal fluid biopterin level,Abnormal Cerebrospinal Fluid Biopterin Level,abnormal_cerebrospinal_fluid_biopterin_level,english,active
abnormal cerebrospinal fluid metabolite concentration,Abnormal Cerebrospinal Fluid Metabolite Concentration,abnormal_cerebrospinal_fluid_metabolite_concentration,english,active
abnormal cerebrospinal fluid morphology,Abnormal Cerebrospinal Fluid Morphology,abnormal_cerebrospinal_fluid_morphology,english,active
abnormal cerumen color,Abnormal Cerumen Color,abnormal_cerumen_color,english,active
abnormal cerumen pigmentation,Abnormal Cerumen Pigmentation,abnormal_cerumen_pigmentation,english,active
abnormal cervical curvature,Abnormal Cervical Curvature,abnormal_cervical_curvature,english,active
abnormal cervical spine,Abnormal Cervical Spine,abnormal_cervical_spine,english,active
abnormal cervical spine morphology,Abnormal Cervical Spine Morphology,abnormal_cervical_spine_morphology,english,active
abnormal ch50,Abnormal CH50,abnormal_ch50,english,active
abnormal change in sexual drive,Abnormal Change in Sexual Drive,abnormal_change_in_sexual_drive,english,active
abnormal change in social behavior,Abnormal Change in Social Behavior,abnormal_change_in_social_behavior,english,active
abnormal cheek morphology,Abnormal Cheek Morphology,abnormal_cheek_morphology,english,active
abnormal chest radiograph finding (lung),Abnormal Chest Radiograph Finding (lung),abnormal_chest_radiograph_finding_(lung),english,active
abnormal choanae morphology,Abnormal Choanae Morphology,abnormal_choanae_morphology,english,active
abnormal cholesterol homeostasis,Abnormal Cholesterol Homeostasis,abnormal_cholesterol_homeostasis,english,active
abnormal chondrocyte morphology,Abnormal Chondrocyte Morphology,abnormal_chondrocyte_morphology,english,active
abnormal chorion morphology,Abnormal Chorion Morphology,abnormal_chorion_morphology,english,active
abnormal chorioretinal morphology,Abnormal Chorioretinal Morphology,abnormal_chorioretinal_morphology,english,active
abnormal choroid morphology,Abnormal Choroid Morphology,abnormal_choroid_morphology,english,active
abnormal choroid plexus morphology,Abnormal Choroid Plexus Morphology,abnormal_choroid_plexus_morphology,english,active
abnormal chromosome morphology,Abnormal Chromosome Morphology,abnormal_chromosome_morphology,english,active
abnormal chylomicron concentration,Abnormal Chylomicron Concentration,abnormal_chylomicron_concentration,english,active
abnormal ciliary body morphology,Abnormal Ciliary Body Morphology,abnormal_ciliary_body_morphology,english,active
abnormal ciliary motility,Abnormal Ciliary Motility,abnormal_ciliary_motility,english,active
abnormal circle of willis morphology,Abnormal Circle of Willis Morphology,abnormal_circle_of_willis_morphology,english,active
abnormal circulating 18-hydroxycorticosterone level,Abnormal Circulating 18-hydroxycorticosterone Level,abnormal_circulating_18-hydroxycorticosterone_level,english,active
abnormal circulating 7-dehydrocholesterol concentration,Abnormal Circulating 7-dehydrocholesterol Concentration,abnormal_circulating_7-dehydrocholesterol_concentration,english,active
abnormal circulating a-type atrial natriuretic peptide concentration,Abnormal Circulating A-type Atrial Natriuretic Peptide Concentration,abnormal_circulating_a-type_atrial_natriuretic_peptide_conce,english,active
abnormal circulating acylcarnitine concentration,Abnormal Circulating Acylcarnitine Concentration,abnormal_circulating_acylcarnitine_concentration,english,active
abnormal circulating adrenocorticotropin concentration,Abnormal Circulating Adrenocorticotropin Concentration,abnormal_circulating_adrenocorticotropin_concentration,english,active
abnormal circulating alanine concentration,Abnormal Circulating Alanine Concentration,abnormal_circulating_alanine_concentration,english,active
abnormal circulating albumin concentration,Abnormal Circulating Albumin Concentration,abnormal_circulating_albumin_concentration,english,active
abnormal circulating aldolase concentration,Abnormal Circulating Aldolase Concentration,abnormal_circulating_aldolase_concentration,english,active
abnormal circulating aldosterone,Abnormal Circulating Aldosterone,abnormal_circulating_aldosterone,english,active
abnormal circulating aldosterone concentration,Abnormal Circulating Aldosterone Concentration,abnormal_circulating_aldosterone_concentration,english,active
abnormal circulating alpha mannosidase activity,Abnormal Circulating Alpha Mannosidase Activity,abnormal_circulating_alpha_mannosidase_activity,english,active
abnormal circulating alpha-fetoprotein concentration,Abnormal Circulating Alpha-fetoprotein Concentration,abnormal_circulating_alpha-fetoprotein_concentration,english,active
abnormal circulating alpha-l-fucosidase activity,Abnormal Circulating Alpha-L-fucosidase Activity,abnormal_circulating_alpha-l-fucosidase_activity,english,active
abnormal circulating amino acid concentration,Abnormal Circulating Amino Acid Concentration,abnormal_circulating_amino_acid_concentration,english,active
abnormal circulating amino sulfonic acid concentration,Abnormal Circulating Amino Sulfonic Acid Concentration,abnormal_circulating_amino_sulfonic_acid_concentration,english,active
abnormal circulating amylase concentration,Abnormal Circulating Amylase Concentration,abnormal_circulating_amylase_concentration,english,active
abnormal circulating amylase level,Abnormal Circulating Amylase Level,abnormal_circulating_amylase_level,english,active
abnormal circulating androgen level,Abnormal Circulating Androgen Level,abnormal_circulating_androgen_level,english,active
abnormal circulating androstenedione concentration,Abnormal Circulating Androstenedione Concentration,abnormal_circulating_androstenedione_concentration,english,active
abnormal circulating angiostatin concentration,Abnormal Circulating Angiostatin Concentration,abnormal_circulating_angiostatin_concentration,english,active
abnormal circulating antimullerian hormone concentration,Abnormal Circulating Antimullerian Hormone Concentration,abnormal_circulating_antimullerian_hormone_concentration,english,active
abnormal circulating apolipoprotein concentration,Abnormal Circulating Apolipoprotein Concentration,abnormal_circulating_apolipoprotein_concentration,english,active
abnormal circulating arginine concentration,Abnormal Circulating Arginine Concentration,abnormal_circulating_arginine_concentration,english,active
abnormal circulating aromatic amino acid concentration,Abnormal Circulating Aromatic Amino Acid Concentration,abnormal_circulating_aromatic_amino_acid_concentration,english,active
abnormal circulating asparagine concentration,Abnormal Circulating Asparagine Concentration,abnormal_circulating_asparagine_concentration,english,active
abnormal circulating aspartate concentration,Abnormal Circulating Aspartate Concentration,abnormal_circulating_aspartate_concentration,english,active
abnormal circulating aspartate family amino acid concentration,Abnormal Circulating Aspartate Family Amino Acid Concentration,abnormal_circulating_aspartate_family_amino_acid_concentrati,english,active
abnormal circulating aspartic acid concentration,Abnormal Circulating Aspartic Acid Concentration,abnormal_circulating_aspartic_acid_concentration,english,active
abnormal circulating b-type natriuretic peptide concentration,Abnormal Circulating B-type Natriuretic Peptide Concentration,abnormal_circulating_b-type_natriuretic_peptide_concentratio,english,active
abnormal circulating beta globulin concentration,Abnormal Circulating Beta Globulin Concentration,abnormal_circulating_beta_globulin_concentration,english,active
abnormal circulating beta-c-terminal telopeptide level,Abnormal Circulating Beta-C-terminal Telopeptide Level,abnormal_circulating_beta-c-terminal_telopeptide_level,english,active
abnormal circulating beta-carotene concentration,Abnormal Circulating Beta-carotene Concentration,abnormal_circulating_beta-carotene_concentration,english,active
abnormal circulating beta-crosslaps level,Abnormal Circulating Beta-CrossLaps Level,abnormal_circulating_beta-crosslaps_level,english,active
abnormal circulating beta-ctx concentration,Abnormal Circulating Beta-CTX Concentration,abnormal_circulating_beta-ctx_concentration,english,active
abnormal circulating beta-ctx level,Abnormal Circulating Beta-CTx Level,abnormal_circulating_beta-ctx_level,english,active
abnormal circulating beta-mannosidase activity,Abnormal Circulating Beta-mannosidase Activity,abnormal_circulating_beta-mannosidase_activity,english,active
abnormal circulating bilirubin concentration,Abnormal Circulating Bilirubin Concentration,abnormal_circulating_bilirubin_concentration,english,active
abnormal circulating biopterin concentration,Abnormal Circulating Biopterin Concentration,abnormal_circulating_biopterin_concentration,english,active
abnormal circulating biotinidase concentration,Abnormal Circulating Biotinidase Concentration,abnormal_circulating_biotinidase_concentration,english,active
abnormal circulating branched chain amino acid concentration,Abnormal Circulating Branched Chain Amino Acid Concentration,abnormal_circulating_branched_chain_amino_acid_concentration,english,active
abnormal circulating c-peptide concentration,Abnormal Circulating C-peptide Concentration,abnormal_circulating_c-peptide_concentration,english,active
abnormal circulating c-reactive protein concentration,Abnormal Circulating C-reactive Protein Concentration,abnormal_circulating_c-reactive_protein_concentration,english,active
abnormal circulating ca concentration,Abnormal Circulating Ca Concentration,abnormal_circulating_ca_concentration,english,active
abnormal circulating ca2+ concentration,Abnormal Circulating Ca2+ Concentration,abnormal_circulating_ca2+_concentration,english,active
abnormal circulating calcitonin concentration,Abnormal Circulating Calcitonin Concentration,abnormal_circulating_calcitonin_concentration,english,active
abnormal circulating calcium concentration,Abnormal Circulating Calcium Concentration,abnormal_circulating_calcium_concentration,english,active
abnormal circulating calcium-phosphate regulating hormone concentration,Abnormal Circulating Calcium-phosphate Regulating Hormone Concentration,abnormal_circulating_calcium-phosphate_regulating_hormone_co,english,active
abnormal circulating carbohydrate concentration,Abnormal Circulating Carbohydrate Concentration,abnormal_circulating_carbohydrate_concentration,english,active
abnormal circulating carboxylic acid concentration,Abnormal Circulating Carboxylic Acid Concentration,abnormal_circulating_carboxylic_acid_concentration,english,active
abnormal circulating carnitine concentration,Abnormal Circulating Carnitine Concentration,abnormal_circulating_carnitine_concentration,english,active
abnormal circulating carnosine concentration,Abnormal Circulating Carnosine Concentration,abnormal_circulating_carnosine_concentration,english,active
abnormal circulating cc chemokine concentration,Abnormal Circulating CC Chemokine Concentration,abnormal_circulating_cc_chemokine_concentration,english,active
abnormal circulating ceruloplasmin concentration,Abnormal Circulating Ceruloplasmin Concentration,abnormal_circulating_ceruloplasmin_concentration,english,active
abnormal circulating chemokine concentration,Abnormal Circulating Chemokine Concentration,abnormal_circulating_chemokine_concentration,english,active
abnormal circulating cholesterol concentration,Abnormal Circulating Cholesterol Concentration,abnormal_circulating_cholesterol_concentration,english,active
abnormal circulating citrulline concentration,Abnormal Circulating Citrulline Concentration,abnormal_circulating_citrulline_concentration,english,active
abnormal circulating ck concentration,Abnormal Circulating CK Concentration,abnormal_circulating_ck_concentration,english,active
abnormal circulating coenzyme concentration,Abnormal Circulating Coenzyme Concentration,abnormal_circulating_coenzyme_concentration,english,active
abnormal circulating collagen degradation product concentration,Abnormal Circulating Collagen Degradation Product Concentration,abnormal_circulating_collagen_degradation_product_concentrat,english,active
abnormal circulating complement factor h related protein 1 concentration,Abnormal Circulating Complement Factor H Related Protein 1 Concentration,abnormal_circulating_complement_factor_h_related_protein_1_c,english,active
abnormal circulating copper concentration,Abnormal Circulating Copper Concentration,abnormal_circulating_copper_concentration,english,active
abnormal circulating corticosterone level,Abnormal Circulating Corticosterone Level,abnormal_circulating_corticosterone_level,english,active
abnormal circulating cpk concentration,Abnormal Circulating CPK Concentration,abnormal_circulating_cpk_concentration,english,active
abnormal circulating creatine concentration,Abnormal Circulating Creatine Concentration,abnormal_circulating_creatine_concentration,english,active
abnormal circulating creatine kinase concentration,Abnormal Circulating Creatine Kinase Concentration,abnormal_circulating_creatine_kinase_concentration,english,active
abnormal circulating creatinine concentration,Abnormal Circulating Creatinine Concentration,abnormal_circulating_creatinine_concentration,english,active
abnormal circulating creatinine level,Abnormal Circulating Creatinine Level,abnormal_circulating_creatinine_level,english,active
abnormal circulating cysteine concentration,Abnormal Circulating Cysteine Concentration,abnormal_circulating_cysteine_concentration,english,active
abnormal circulating cytokine concentration,Abnormal Circulating Cytokine Concentration,abnormal_circulating_cytokine_concentration,english,active
abnormal circulating dehydroepiandrosterone concentration,Abnormal Circulating Dehydroepiandrosterone Concentration,abnormal_circulating_dehydroepiandrosterone_concentration,english,active
abnormal circulating deoxycorticosterone level,Abnormal Circulating Deoxycorticosterone Level,abnormal_circulating_deoxycorticosterone_level,english,active
abnormal circulating dicarboxylic acid concentration,Abnormal Circulating Dicarboxylic Acid Concentration,abnormal_circulating_dicarboxylic_acid_concentration,english,active
abnormal circulating eicosanoid concentration,Abnormal Circulating Eicosanoid Concentration,abnormal_circulating_eicosanoid_concentration,english,active
abnormal circulating enzyme concentration,Abnormal Circulating Enzyme Concentration,abnormal_circulating_enzyme_concentration,english,active
abnormal circulating enzyme concentration or activity,Abnormal Circulating Enzyme Concentration or Activity,abnormal_circulating_enzyme_concentration_or_activity,english,active
abnormal circulating erythropoietin concentration,Abnormal Circulating Erythropoietin Concentration,abnormal_circulating_erythropoietin_concentration,english,active
abnormal circulating esterified carnitine concentration,Abnormal Circulating Esterified Carnitine Concentration,abnormal_circulating_esterified_carnitine_concentration,english,active
abnormal circulating estrogen level,Abnormal Circulating Estrogen Level,abnormal_circulating_estrogen_level,english,active
abnormal circulating ethanolamine concentration,Abnormal Circulating Ethanolamine Concentration,abnormal_circulating_ethanolamine_concentration,english,active
abnormal circulating fatty-acid anion concentration,Abnormal Circulating Fatty-acid Anion Concentration,abnormal_circulating_fatty-acid_anion_concentration,english,active
abnormal circulating fatty-acid concentration,Abnormal Circulating Fatty-acid Concentration,abnormal_circulating_fatty-acid_concentration,english,active
abnormal circulating ferritin concentration,Abnormal Circulating Ferritin Concentration,abnormal_circulating_ferritin_concentration,english,active
abnormal circulating fetuin a concentration,Abnormal Circulating Fetuin a Concentration,abnormal_circulating_fetuin_a_concentration,english,active
abnormal circulating fibroblast growth factor 23 concentration,Abnormal Circulating Fibroblast Growth Factor 23 Concentration,abnormal_circulating_fibroblast_growth_factor_23_concentrati,english,active
abnormal circulating follicle-stimulating hormone concentration,Abnormal Circulating Follicle-stimulating Hormone Concentration,abnormal_circulating_follicle-stimulating_hormone_concentrat,english,active
abnormal circulating follicle-stimulating hormone level,Abnormal Circulating Follicle-stimulating Hormone Level,abnormal_circulating_follicle-stimulating_hormone_level,english,active
abnormal circulating free fatty acid concentration,Abnormal Circulating Free Fatty Acid Concentration,abnormal_circulating_free_fatty_acid_concentration,english,active
abnormal circulating free fatty acid level,Abnormal Circulating Free Fatty Acid Level,abnormal_circulating_free_fatty_acid_level,english,active
abnormal circulating free t3 concentration,Abnormal Circulating Free T3 Concentration,abnormal_circulating_free_t3_concentration,english,active
abnormal circulating free t3 level,Abnormal Circulating Free T3 Level,abnormal_circulating_free_t3_level,english,active
abnormal circulating free t4 concentration,Abnormal Circulating Free T4 Concentration,abnormal_circulating_free_t4_concentration,english,active
abnormal circulating free t4 level,Abnormal Circulating Free T4 Level,abnormal_circulating_free_t4_level,english,active
abnormal circulating free thyroxine level,Abnormal Circulating Free Thyroxine Level,abnormal_circulating_free_thyroxine_level,english,active
abnormal circulating free triiodotyronine concentration,Abnormal Circulating Free Triiodotyronine Concentration,abnormal_circulating_free_triiodotyronine_concentration,english,active
abnormal circulating gaba concentration,Abnormal Circulating GABA Concentration,abnormal_circulating_gaba_concentration,english,active
abnormal circulating gastrin concentration,Abnormal Circulating Gastrin Concentration,abnormal_circulating_gastrin_concentration,english,active
abnormal circulating gastrin level,Abnormal Circulating Gastrin Level,abnormal_circulating_gastrin_level,english,active
abnormal circulating globulin concentration,Abnormal Circulating Globulin Concentration,abnormal_circulating_globulin_concentration,english,active
abnormal circulating globulin level,Abnormal Circulating Globulin Level,abnormal_circulating_globulin_level,english,active
abnormal circulating glucose-6-phosphate dehydrogenase concentration,Abnormal Circulating Glucose-6-phosphate Dehydrogenase Concentration,abnormal_circulating_glucose-6-phosphate_dehydrogenase_conce,english,active
abnormal circulating glutamate concentration,Abnormal Circulating Glutamate Concentration,abnormal_circulating_glutamate_concentration,english,active
abnormal circulating glutamine concentration,Abnormal Circulating Glutamine Concentration,abnormal_circulating_glutamine_concentration,english,active
abnormal circulating glutamine family amino acid concentration,Abnormal Circulating Glutamine Family Amino Acid Concentration,abnormal_circulating_glutamine_family_amino_acid_concentrati,english,active
abnormal circulating glycerol level,Abnormal Circulating Glycerol Level,abnormal_circulating_glycerol_level,english,active
abnormal circulating glycine concentration,Abnormal Circulating Glycine Concentration,abnormal_circulating_glycine_concentration,english,active
abnormal circulating gonadal steroid concentration,Abnormal Circulating Gonadal Steroid Concentration,abnormal_circulating_gonadal_steroid_concentration,english,active
abnormal circulating gonadocorticoid concentration,Abnormal Circulating Gonadocorticoid Concentration,abnormal_circulating_gonadocorticoid_concentration,english,active
abnormal circulating gonadotropin concentration,Abnormal Circulating Gonadotropin Concentration,abnormal_circulating_gonadotropin_concentration,english,active
abnormal circulating gonadotropin level,Abnormal Circulating Gonadotropin Level,abnormal_circulating_gonadotropin_level,english,active
abnormal circulating haptoglobin concentration,Abnormal Circulating Haptoglobin Concentration,abnormal_circulating_haptoglobin_concentration,english,active
abnormal circulating heparan sulfate level,Abnormal Circulating Heparan Sulfate Level,abnormal_circulating_heparan_sulfate_level,english,active
abnormal circulating heparan sulphate level,Abnormal Circulating Heparan Sulphate Level,abnormal_circulating_heparan_sulphate_level,english,active
abnormal circulating hepatic transaminase activity,Abnormal Circulating Hepatic Transaminase Activity,abnormal_circulating_hepatic_transaminase_activity,english,active
