combo_id,symptom_a,symptom_b,variant,classification,severity_points,rationale,status
SC00691,bronchitis,eye_discharge,clinical,NON-URGENT,3,Clinical combination: bronchitis + eye_discharge,active
SC00692,bronchitis,foreign_body_eye,clinical,NON-URGENT,3,Clinical combination: bronchitis + foreign_body_eye,active
SC00693,bronchitis,photophobia,clinical,NON-URGENT,3,Clinical combination: bronchitis + photophobia,active
SC00694,bronchitis,sudden_vision_loss,clinical,URGENT,7,Clinical combination: bronchitis + sudden_vision_loss,active
SC00695,bronchitis,urinary_retention,clinical,NON-URGENT,3,Clinical combination: bronchitis + urinary_retention,active
SC00696,bronchitis,hematuria,clinical,NON-URGENT,3,Clinical combination: bronchitis + hematuria,active
SC00697,bronchitis,flank_pain,clinical,NON-URGENT,3,Clinical combination: bronchitis + flank_pain,active
SC00698,bronchitis,kidney_stone_pain,clinical,NON-URGENT,3,Clinical combination: bronchitis + kidney_stone_pain,active
SC00699,bronchitis,urinary_frequency,clinical,NON-URGENT,3,Clinical combination: bronchitis + urinary_frequency,active
SC00700,bronchitis,incontinence,clinical,NON-URGENT,3,Clinical combination: bronchitis + incontinence,active
SC00701,bronchitis,scrotal_pain,clinical,NON-URGENT,3,Clinical combination: bronchitis + scrotal_pain,active
SC00702,bronchitis,testicular_pain,clinical,NON-URGENT,3,Clinical combination: bronchitis + testicular_pain,active
SC00703,bronchitis,testicular_torsion,clinical,URGENT,7,Clinical combination: bronchitis + testicular_torsion,active
SC00704,bronchitis,penile_discharge,clinical,NON-URGENT,3,Clinical combination: bronchitis + penile_discharge,active
SC00705,bronchitis,anxiety_attack,clinical,NON-URGENT,3,Clinical combination: bronchitis + anxiety_attack,active
SC00706,bronchitis,panic_attack,clinical,NON-URGENT,3,Clinical combination: bronchitis + panic_attack,active
SC00707,bronchitis,depression_severe,clinical,NON-URGENT,3,Clinical combination: bronchitis + depression_severe,active
SC00708,bronchitis,agitation,clinical,NON-URGENT,3,Clinical combination: bronchitis + agitation,active
SC00709,bronchitis,aggression,clinical,NON-URGENT,3,Clinical combination: bronchitis + aggression,active
SC00710,bronchitis,hallucinations,clinical,URGENT,7,Clinical combination: bronchitis + hallucinations,active
SC00711,bronchitis,substance_withdrawal,clinical,URGENT,7,Clinical combination: bronchitis + substance_withdrawal,active
SC00712,bronchitis,self_harm,clinical,URGENT,7,Clinical combination: bronchitis + self_harm,active
SC00713,bronchitis,psychosis,clinical,URGENT,7,Clinical combination: bronchitis + psychosis,active
SC00714,bronchitis,infant_fever,clinical,NON-URGENT,3,Clinical combination: bronchitis + infant_fever,active
SC00715,bronchitis,poor_feeding_infant,clinical,NON-URGENT,3,Clinical combination: bronchitis + poor_feeding_infant,active
SC00716,bronchitis,decreased_wet_diapers,clinical,NON-URGENT,3,Clinical combination: bronchitis + decreased_wet_diapers,active
SC00717,bronchitis,bulging_fontanelle,clinical,URGENT,7,Clinical combination: bronchitis + bulging_fontanelle,active
SC00718,bronchitis,irritable_infant,clinical,NON-URGENT,3,Clinical combination: bronchitis + irritable_infant,active
SC00719,pneumonia_symptoms,pleuritic_chest_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + pleuritic_chest_pain,active
SC00720,pneumonia_symptoms,hoarseness,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hoarseness,active
SC00721,pneumonia_symptoms,nasal_congestion,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + nasal_congestion,active
SC00722,pneumonia_symptoms,sinus_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + sinus_pain,active
SC00723,pneumonia_symptoms,hemoptysis,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + hemoptysis,active
SC00724,pneumonia_symptoms,throat_swelling,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + throat_swelling,active
SC00725,pneumonia_symptoms,aspiration,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + aspiration,active
SC00726,pneumonia_symptoms,croup,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + croup,active
SC00727,pneumonia_symptoms,epistaxis,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + epistaxis,active
SC00728,pneumonia_symptoms,severe_epistaxis,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + severe_epistaxis,active
SC00729,pneumonia_symptoms,cyanosis,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + cyanosis,active
SC00730,pneumonia_symptoms,sleep_apnea_symptoms,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + sleep_apnea_symptoms,active
SC00731,pneumonia_symptoms,syncope,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + syncope,active
SC00732,pneumonia_symptoms,hypotension,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hypotension,active
SC00733,pneumonia_symptoms,hypertension_severe,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hypertension_severe,active
SC00734,pneumonia_symptoms,leg_swelling_unilateral,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + leg_swelling_unilateral,active
SC00735,pneumonia_symptoms,claudication,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + claudication,active
SC00736,pneumonia_symptoms,arrhythmia,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + arrhythmia,active
SC00737,pneumonia_symptoms,angina,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + angina,active
SC00738,pneumonia_symptoms,heart_failure_symptoms,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + heart_failure_symptoms,active
SC00739,pneumonia_symptoms,cold_extremities,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + cold_extremities,active
SC00740,pneumonia_symptoms,cardiac_arrest_symptoms,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + cardiac_arrest_symptoms,active
SC00741,pneumonia_symptoms,constipation,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + constipation,active
SC00742,pneumonia_symptoms,bloating,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + bloating,active
SC00743,pneumonia_symptoms,dysphagia,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + dysphagia,active
SC00744,pneumonia_symptoms,odynophagia,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + odynophagia,active
SC00745,pneumonia_symptoms,melena,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + melena,active
SC00746,pneumonia_symptoms,hematochezia,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + hematochezia,active
SC00747,pneumonia_symptoms,jaundice,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + jaundice,active
SC00748,pneumonia_symptoms,appendicitis_pain,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + appendicitis_pain,active
SC00749,pneumonia_symptoms,pancreatitis_pain,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + pancreatitis_pain,active
SC00750,pneumonia_symptoms,gallbladder_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + gallbladder_pain,active
SC00751,pneumonia_symptoms,reflux,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + reflux,active
SC00752,pneumonia_symptoms,indigestion,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + indigestion,active
SC00753,pneumonia_symptoms,anorexia,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + anorexia,active
SC00754,pneumonia_symptoms,weight_loss,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + weight_loss,active
SC00755,pneumonia_symptoms,rectal_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + rectal_pain,active
SC00756,pneumonia_symptoms,hernia_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hernia_pain,active
SC00757,pneumonia_symptoms,acute_abdomen,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + acute_abdomen,active
SC00758,pneumonia_symptoms,numbness,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + numbness,active
SC00759,pneumonia_symptoms,tingling,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + tingling,active
SC00760,pneumonia_symptoms,paralysis,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + paralysis,active
SC00761,pneumonia_symptoms,tremor,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + tremor,active
SC00762,pneumonia_symptoms,facial_weakness,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + facial_weakness,active
SC00763,pneumonia_symptoms,vision_loss,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + vision_loss,active
SC00764,pneumonia_symptoms,double_vision,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + double_vision,active
SC00765,pneumonia_symptoms,hearing_loss,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hearing_loss,active
SC00766,pneumonia_symptoms,vertigo,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + vertigo,active
SC00767,pneumonia_symptoms,migraine_severe,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + migraine_severe,active
SC00768,pneumonia_symptoms,stiff_neck,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + stiff_neck,active
SC00769,pneumonia_symptoms,meningism,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + meningism,active
SC00770,pneumonia_symptoms,gait_disturbance,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + gait_disturbance,active
SC00771,pneumonia_symptoms,memory_loss_acute,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + memory_loss_acute,active
SC00772,pneumonia_symptoms,facial_droop,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + facial_droop,active
SC00773,pneumonia_symptoms,slurred_speech,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + slurred_speech,active
SC00774,pneumonia_symptoms,one_sided_weakness,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + one_sided_weakness,active
SC00775,pneumonia_symptoms,joint_swelling,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + joint_swelling,active
SC00776,pneumonia_symptoms,muscle_cramps,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + muscle_cramps,active
SC00777,pneumonia_symptoms,neck_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + neck_pain,active
SC00778,pneumonia_symptoms,shoulder_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + shoulder_pain,active
SC00779,pneumonia_symptoms,hip_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hip_pain,active
SC00780,pneumonia_symptoms,knee_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + knee_pain,active
SC00781,pneumonia_symptoms,ankle_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + ankle_pain,active
SC00782,pneumonia_symptoms,wrist_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + wrist_pain,active
SC00783,pneumonia_symptoms,sprain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + sprain,active
SC00784,pneumonia_symptoms,suspected_fracture,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + suspected_fracture,active
SC00785,pneumonia_symptoms,dislocation,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + dislocation,active
SC00786,pneumonia_symptoms,muscle_weakness,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + muscle_weakness,active
SC00787,pneumonia_symptoms,hives,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hives,active
SC00788,pneumonia_symptoms,itching,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + itching,active
SC00789,pneumonia_symptoms,cellulitis,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + cellulitis,active
SC00790,pneumonia_symptoms,abscess,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + abscess,active
SC00791,pneumonia_symptoms,wound_infection,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + wound_infection,active
SC00792,pneumonia_symptoms,laceration,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + laceration,active
SC00793,pneumonia_symptoms,insect_bite_reaction,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + insect_bite_reaction,active
SC00794,pneumonia_symptoms,purpuric_rash,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + purpuric_rash,active
SC00795,pneumonia_symptoms,skin_infection_spreading,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + skin_infection_spreading,active
SC00796,pneumonia_symptoms,tinnitus,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + tinnitus,active
SC00797,pneumonia_symptoms,hearing_change,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hearing_change,active
SC00798,pneumonia_symptoms,tonsillar_swelling,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + tonsillar_swelling,active
SC00799,pneumonia_symptoms,dental_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + dental_pain,active
SC00800,pneumonia_symptoms,jaw_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + jaw_pain,active
SC00801,pneumonia_symptoms,facial_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + facial_pain,active
SC00802,pneumonia_symptoms,mouth_sores,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + mouth_sores,active
SC00803,pneumonia_symptoms,facial_swelling,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + facial_swelling,active
SC00804,pneumonia_symptoms,red_eye,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + red_eye,active
SC00805,pneumonia_symptoms,vision_change,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + vision_change,active
SC00806,pneumonia_symptoms,eye_discharge,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + eye_discharge,active
SC00807,pneumonia_symptoms,foreign_body_eye,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + foreign_body_eye,active
SC00808,pneumonia_symptoms,photophobia,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + photophobia,active
SC00809,pneumonia_symptoms,sudden_vision_loss,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + sudden_vision_loss,active
SC00810,pneumonia_symptoms,urinary_retention,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + urinary_retention,active
SC00811,pneumonia_symptoms,hematuria,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + hematuria,active
SC00812,pneumonia_symptoms,flank_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + flank_pain,active
SC00813,pneumonia_symptoms,kidney_stone_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + kidney_stone_pain,active
SC00814,pneumonia_symptoms,urinary_frequency,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + urinary_frequency,active
SC00815,pneumonia_symptoms,incontinence,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + incontinence,active
SC00816,pneumonia_symptoms,scrotal_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + scrotal_pain,active
SC00817,pneumonia_symptoms,testicular_pain,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + testicular_pain,active
SC00818,pneumonia_symptoms,testicular_torsion,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + testicular_torsion,active
SC00819,pneumonia_symptoms,penile_discharge,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + penile_discharge,active
SC00820,pneumonia_symptoms,anxiety_attack,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + anxiety_attack,active
SC00821,pneumonia_symptoms,panic_attack,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + panic_attack,active
SC00822,pneumonia_symptoms,depression_severe,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + depression_severe,active
SC00823,pneumonia_symptoms,agitation,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + agitation,active
SC00824,pneumonia_symptoms,aggression,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + aggression,active
SC00825,pneumonia_symptoms,hallucinations,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + hallucinations,active
SC00826,pneumonia_symptoms,substance_withdrawal,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + substance_withdrawal,active
SC00827,pneumonia_symptoms,self_harm,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + self_harm,active
SC00828,pneumonia_symptoms,psychosis,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + psychosis,active
SC00829,pneumonia_symptoms,infant_fever,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + infant_fever,active
SC00830,pneumonia_symptoms,poor_feeding_infant,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + poor_feeding_infant,active
SC00831,pneumonia_symptoms,decreased_wet_diapers,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + decreased_wet_diapers,active
SC00832,pneumonia_symptoms,bulging_fontanelle,clinical,URGENT,7,Clinical combination: pneumonia_symptoms + bulging_fontanelle,active
SC00833,pneumonia_symptoms,irritable_infant,clinical,NON-URGENT,3,Clinical combination: pneumonia_symptoms + irritable_infant,active
SC00834,pleuritic_chest_pain,hoarseness,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hoarseness,active
SC00835,pleuritic_chest_pain,nasal_congestion,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + nasal_congestion,active
SC00836,pleuritic_chest_pain,sinus_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + sinus_pain,active
SC00837,pleuritic_chest_pain,hemoptysis,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + hemoptysis,active
SC00838,pleuritic_chest_pain,throat_swelling,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + throat_swelling,active
SC00839,pleuritic_chest_pain,aspiration,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + aspiration,active
SC00840,pleuritic_chest_pain,croup,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + croup,active
SC00841,pleuritic_chest_pain,epistaxis,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + epistaxis,active
SC00842,pleuritic_chest_pain,severe_epistaxis,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + severe_epistaxis,active
SC00843,pleuritic_chest_pain,cyanosis,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + cyanosis,active
SC00844,pleuritic_chest_pain,sleep_apnea_symptoms,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + sleep_apnea_symptoms,active
SC00845,pleuritic_chest_pain,syncope,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + syncope,active
SC00846,pleuritic_chest_pain,hypotension,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hypotension,active
SC00847,pleuritic_chest_pain,hypertension_severe,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hypertension_severe,active
SC00848,pleuritic_chest_pain,leg_swelling_unilateral,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + leg_swelling_unilateral,active
SC00849,pleuritic_chest_pain,claudication,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + claudication,active
SC00850,pleuritic_chest_pain,arrhythmia,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + arrhythmia,active
SC00851,pleuritic_chest_pain,angina,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + angina,active
SC00852,pleuritic_chest_pain,heart_failure_symptoms,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + heart_failure_symptoms,active
SC00853,pleuritic_chest_pain,cold_extremities,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + cold_extremities,active
SC00854,pleuritic_chest_pain,cardiac_arrest_symptoms,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + cardiac_arrest_symptoms,active
SC00855,pleuritic_chest_pain,constipation,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + constipation,active
SC00856,pleuritic_chest_pain,bloating,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + bloating,active
SC00857,pleuritic_chest_pain,dysphagia,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + dysphagia,active
SC00858,pleuritic_chest_pain,odynophagia,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + odynophagia,active
SC00859,pleuritic_chest_pain,melena,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + melena,active
SC00860,pleuritic_chest_pain,hematochezia,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + hematochezia,active
SC00861,pleuritic_chest_pain,jaundice,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + jaundice,active
SC00862,pleuritic_chest_pain,appendicitis_pain,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + appendicitis_pain,active
SC00863,pleuritic_chest_pain,pancreatitis_pain,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + pancreatitis_pain,active
SC00864,pleuritic_chest_pain,gallbladder_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + gallbladder_pain,active
SC00865,pleuritic_chest_pain,reflux,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + reflux,active
SC00866,pleuritic_chest_pain,indigestion,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + indigestion,active
SC00867,pleuritic_chest_pain,anorexia,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + anorexia,active
SC00868,pleuritic_chest_pain,weight_loss,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + weight_loss,active
SC00869,pleuritic_chest_pain,rectal_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + rectal_pain,active
SC00870,pleuritic_chest_pain,hernia_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hernia_pain,active
SC00871,pleuritic_chest_pain,acute_abdomen,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + acute_abdomen,active
SC00872,pleuritic_chest_pain,numbness,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + numbness,active
SC00873,pleuritic_chest_pain,tingling,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + tingling,active
SC00874,pleuritic_chest_pain,paralysis,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + paralysis,active
SC00875,pleuritic_chest_pain,tremor,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + tremor,active
SC00876,pleuritic_chest_pain,facial_weakness,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + facial_weakness,active
SC00877,pleuritic_chest_pain,vision_loss,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + vision_loss,active
SC00878,pleuritic_chest_pain,double_vision,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + double_vision,active
SC00879,pleuritic_chest_pain,hearing_loss,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hearing_loss,active
SC00880,pleuritic_chest_pain,vertigo,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + vertigo,active
SC00881,pleuritic_chest_pain,migraine_severe,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + migraine_severe,active
SC00882,pleuritic_chest_pain,stiff_neck,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + stiff_neck,active
SC00883,pleuritic_chest_pain,meningism,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + meningism,active
SC00884,pleuritic_chest_pain,gait_disturbance,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + gait_disturbance,active
SC00885,pleuritic_chest_pain,memory_loss_acute,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + memory_loss_acute,active
SC00886,pleuritic_chest_pain,facial_droop,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + facial_droop,active
SC00887,pleuritic_chest_pain,slurred_speech,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + slurred_speech,active
SC00888,pleuritic_chest_pain,one_sided_weakness,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + one_sided_weakness,active
SC00889,pleuritic_chest_pain,joint_swelling,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + joint_swelling,active
SC00890,pleuritic_chest_pain,muscle_cramps,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + muscle_cramps,active
SC00891,pleuritic_chest_pain,neck_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + neck_pain,active
SC00892,pleuritic_chest_pain,shoulder_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + shoulder_pain,active
SC00893,pleuritic_chest_pain,hip_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hip_pain,active
SC00894,pleuritic_chest_pain,knee_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + knee_pain,active
SC00895,pleuritic_chest_pain,ankle_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + ankle_pain,active
SC00896,pleuritic_chest_pain,wrist_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + wrist_pain,active
SC00897,pleuritic_chest_pain,sprain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + sprain,active
SC00898,pleuritic_chest_pain,suspected_fracture,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + suspected_fracture,active
SC00899,pleuritic_chest_pain,dislocation,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + dislocation,active
SC00900,pleuritic_chest_pain,muscle_weakness,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + muscle_weakness,active
SC00901,pleuritic_chest_pain,hives,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hives,active
SC00902,pleuritic_chest_pain,itching,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + itching,active
SC00903,pleuritic_chest_pain,cellulitis,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + cellulitis,active
SC00904,pleuritic_chest_pain,abscess,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + abscess,active
SC00905,pleuritic_chest_pain,wound_infection,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + wound_infection,active
SC00906,pleuritic_chest_pain,laceration,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + laceration,active
SC00907,pleuritic_chest_pain,insect_bite_reaction,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + insect_bite_reaction,active
SC00908,pleuritic_chest_pain,purpuric_rash,clinical,URGENT,7,Clinical combination: pleuritic_chest_pain + purpuric_rash,active
SC00909,pleuritic_chest_pain,skin_infection_spreading,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + skin_infection_spreading,active
SC00910,pleuritic_chest_pain,tinnitus,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + tinnitus,active
SC00911,pleuritic_chest_pain,hearing_change,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + hearing_change,active
SC00912,pleuritic_chest_pain,tonsillar_swelling,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + tonsillar_swelling,active
SC00913,pleuritic_chest_pain,dental_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + dental_pain,active
SC00914,pleuritic_chest_pain,jaw_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + jaw_pain,active
SC00915,pleuritic_chest_pain,facial_pain,clinical,NON-URGENT,3,Clinical combination: pleuritic_chest_pain + facial_pain,active
