dictionary_id,local_term,english_term,category
1511,ga sakit batiis subong,leg pain,condition
1512,ga sakit bato akon,kidney pain,condition
1513,ga sakit bato gid ko,kidney pain,condition
1514,ga sakit bato ko,kidney pain,condition
1515,ga sakit bato man,kidney pain,condition
1516,ga sakit bato subong,kidney pain,condition
1517,ga sakit baywang ako,waist pain,condition
1518,ga sakit baywang akon,waist pain,condition
1519,ga sakit baywang akon gid,waist pain,condition
1520,ga sakit baywang akon subong,waist pain,condition
1521,ga sakit baywang gid ko,waist pain,condition
1522,ga sakit baywang ko,waist pain,condition
1523,ga sakit baywang ko gid,waist pain,condition
1524,ga sakit baywang ko man,waist pain,condition
1525,ga sakit baywang man,waist pain,condition
1526,ga sakit baywang subong,waist pain,condition
1527,ga sakit buhok akon,hair pain,condition
1528,ga sakit buhok gid ko,hair pain,condition
1529,ga sakit buhok ko,hair pain,condition
1530,ga sakit buhok man,hair pain,condition
1531,ga sakit buhok subong,hair pain,condition
1532,ga sakit bukong akon,forehead pain,condition
1533,ga sakit bukong gid ko,forehead pain,condition
1534,ga sakit bukong ko,forehead pain,condition
1535,ga sakit bukong man,forehead pain,condition
1536,ga sakit bukong subong,forehead pain,condition
1537,ga sakit buuk akon,arm pain,condition
1538,ga sakit buuk gid ko,arm pain,condition
1539,ga sakit buuk ko,arm pain,condition
1540,ga sakit buuk man,arm pain,condition
1541,ga sakit buuk subong,arm pain,condition
1542,ga sakit dalunggan akon,ear pain,condition
1543,ga sakit dalunggan gid ko,ear pain,condition
1544,ga sakit dalunggan ko,ear pain,condition
1545,ga sakit dalunggan man,ear pain,condition
1546,ga sakit dalunggan subong,ear pain,condition
1547,ga sakit dila akon,tongue pain,condition
1548,ga sakit dila gid ko,tongue pain,condition
1549,ga sakit dila ko,tongue pain,condition
1550,ga sakit dila man,tongue pain,condition
1551,ga sakit dila subong,tongue pain,condition
1552,ga sakit dughan akon,chest pain,condition
1553,ga sakit dughan gid ko,chest pain,condition
1554,ga sakit dughan ko,chest pain,condition
1555,ga sakit dughan man,chest pain,condition
1556,ga sakit dughan subong,chest pain,condition
1557,ga sakit ilong akon,nose pain,condition
1558,ga sakit ilong gid ko,nose pain,condition
1559,ga sakit ilong ko,nose pain,condition
1560,ga sakit ilong man,nose pain,condition
1561,ga sakit ilong subong,nose pain,condition
1562,ga sakit kamot akon,hand pain,condition
1563,ga sakit kamot gid ko,hand pain,condition
1564,ga sakit kamot ko,hand pain,condition
1565,ga sakit kamot man,hand pain,condition
1566,ga sakit kamot subong,hand pain,condition
1567,ga sakit kuko akon,nail pain,condition
1568,ga sakit kuko gid ko,nail pain,condition
1569,ga sakit kuko ko,nail pain,condition
1570,ga sakit kuko man,nail pain,condition
1571,ga sakit kuko subong,nail pain,condition
1572,ga sakit lawas akon,body pain,condition
1573,ga sakit lawas gid ko,body pain,condition
1574,ga sakit lawas ko,body pain,condition
1575,ga sakit lawas man,body pain,condition
1576,ga sakit lawas subong,body pain,condition
1577,ga sakit lawi akon,nape pain,condition
1578,ga sakit lawi gid ko,nape pain,condition
1579,ga sakit lawi ko,nape pain,condition
1580,ga sakit lawi man,nape pain,condition
1581,ga sakit lawi subong,nape pain,condition
1582,ga sakit likod ako,back pain,condition
1583,ga sakit likod akon,back pain,condition
1584,ga sakit likod akon gid,back pain,condition
1585,ga sakit likod akon subong,back pain,condition
1586,ga sakit likod gid ko,back pain,condition
1587,ga sakit likod ko,back pain,condition
1588,ga sakit likod ko gid,back pain,condition
1589,ga sakit likod ko man,back pain,condition
1590,ga sakit likod man,back pain,condition
1591,ga sakit likod subong,back pain,condition
1592,ga sakit liog ako,neck pain,condition
1593,ga sakit liog akon,neck pain,condition
1594,ga sakit liog akon gid,neck pain,condition
1595,ga sakit liog akon subong,neck pain,condition
1596,ga sakit liog gid ko,neck pain,condition
1597,ga sakit liog ko,neck pain,condition
1598,ga sakit liog ko gid,neck pain,condition
1599,ga sakit liog ko man,neck pain,condition
1600,ga sakit liog man,neck pain,condition
1601,ga sakit liog subong,neck pain,condition
1602,ga sakit mata akon,eye pain,condition
1603,ga sakit mata gid ko,eye pain,condition
1604,ga sakit mata ko,eye pain,condition
1605,ga sakit mata man,eye pain,condition
1606,ga sakit mata subong,eye pain,condition
1607,ga sakit ngipon akon,tooth pain,condition
1608,ga sakit ngipon gid ko,tooth pain,condition
1609,ga sakit ngipon ko,tooth pain,condition
1610,ga sakit ngipon man,tooth pain,condition
1611,ga sakit ngipon subong,tooth pain,condition
1612,ga sakit paa akon,foot pain,condition
1613,ga sakit paa gid ko,foot pain,condition
1614,ga sakit paa ko,foot pain,condition
1615,ga sakit paa man,foot pain,condition
1616,ga sakit paa subong,foot pain,condition
1617,ga sakit pilas akon,wound pain,condition
1618,ga sakit pilas gid ko,wound pain,condition
1619,ga sakit pilas ko,wound pain,condition
1620,ga sakit pilas man,wound pain,condition
1621,ga sakit pilas subong,wound pain,condition
1622,ga sakit pisngi akon,cheek pain,condition
1623,ga sakit pisngi gid ko,cheek pain,condition
1624,ga sakit pisngi ko,cheek pain,condition
1625,ga sakit pisngi man,cheek pain,condition
1626,ga sakit pisngi subong,cheek pain,condition
1627,ga sakit siko ako,elbow pain,condition
1628,ga sakit siko akon,elbow pain,condition
1629,ga sakit siko akon gid,elbow pain,condition
1630,ga sakit siko akon subong,elbow pain,condition
1631,ga sakit siko gid ko,elbow pain,condition
1632,ga sakit siko ko,elbow pain,condition
1633,ga sakit siko ko gid,elbow pain,condition
1634,ga sakit siko ko man,elbow pain,condition
1635,ga sakit siko man,elbow pain,condition
1636,ga sakit siko subong,elbow pain,condition
1637,ga sakit tadlong akon,forearm pain,condition
1638,ga sakit tadlong gid ko,forearm pain,condition
1639,ga sakit tadlong ko,forearm pain,condition
1640,ga sakit tadlong man,forearm pain,condition
1641,ga sakit tadlong subong,forearm pain,condition
1642,ga sakit tagipusuon akon,heart pain,condition
1643,ga sakit tagipusuon gid ko,heart pain,condition
1644,ga sakit tagipusuon ko,heart pain,condition
1645,ga sakit tagipusuon man,heart pain,condition
1646,ga sakit tagipusuon subong,heart pain,condition
1647,ga sakit tai akon,buttocks pain,condition
1648,ga sakit tai gid ko,buttocks pain,condition
1649,ga sakit tai ko,buttocks pain,condition
1650,ga sakit tai man,buttocks pain,condition
1651,ga sakit tai subong,buttocks pain,condition
1652,ga sakit tiil akon,foot pain,condition
1653,ga sakit tiil gid ko,foot pain,condition
1654,ga sakit tiil ko,foot pain,condition
1655,ga sakit tiil man,foot pain,condition
1656,ga sakit tiil subong,foot pain,condition
1657,ga sakit tikod ako,heel pain,condition
1658,ga sakit tikod akon,heel pain,condition
1659,ga sakit tikod akon gid,heel pain,condition
1660,ga sakit tikod akon subong,heel pain,condition
1661,ga sakit tikod gid ko,heel pain,condition
1662,ga sakit tikod ko,heel pain,condition
1663,ga sakit tikod ko gid,heel pain,condition
1664,ga sakit tikod ko man,heel pain,condition
1665,ga sakit tikod man,heel pain,condition
1666,ga sakit tikod subong,heel pain,condition
1667,ga sakit titi akon,breast pain,condition
1668,ga sakit titi gid ko,breast pain,condition
1669,ga sakit titi ko,breast pain,condition
1670,ga sakit titi man,breast pain,condition
1671,ga sakit titi subong,breast pain,condition
1672,ga sakit tiyan akon,abdominal pain,condition
1673,ga sakit tiyan gid ko,abdominal pain,condition
1674,ga sakit tiyan ko,abdominal pain,condition
1675,ga sakit tiyan man,abdominal pain,condition
1676,ga sakit tiyan subong,abdominal pain,condition
1677,ga sakit tudlo akon,finger pain,condition
1678,ga sakit tudlo gid ko,finger pain,condition
1679,ga sakit tudlo ko,finger pain,condition
1680,ga sakit tudlo man,finger pain,condition
1681,ga sakit tudlo subong,finger pain,condition
1682,ga sakit tuhod akon,knee pain,condition
1683,ga sakit tuhod gid ko,knee pain,condition
1684,ga sakit tuhod ko,knee pain,condition
1685,ga sakit tuhod man,knee pain,condition
1686,ga sakit tuhod subong,knee pain,condition
1687,ga sakit tungod akon,throat pain,condition
1688,ga sakit tungod gid ko,throat pain,condition
1689,ga sakit tungod ko,throat pain,condition
1690,ga sakit tungod man,throat pain,condition
1691,ga sakit tungod subong,throat pain,condition
1692,ga sakit tungtong ako,ankle pain,condition
1693,ga sakit tungtong akon,ankle pain,condition
1694,ga sakit tungtong akon gid,ankle pain,condition
1695,ga sakit tungtong akon subong,ankle pain,condition
1696,ga sakit tungtong gid ko,ankle pain,condition
1697,ga sakit tungtong ko,ankle pain,condition
1698,ga sakit tungtong ko gid,ankle pain,condition
1699,ga sakit tungtong ko man,ankle pain,condition
1700,ga sakit tungtong man,ankle pain,condition
1701,ga sakit tungtong subong,ankle pain,condition
1702,ga sakit ulo akon,head pain,condition
1703,ga sakit ulo gid ko,head pain,condition
1704,ga sakit ulo ko,head pain,condition
1705,ga sakit ulo man,head pain,condition
1706,ga sakit ulo subong,head pain,condition
1707,ga sakit utok akon,brain pain,condition
1708,ga sakit utok gid ko,brain pain,condition
1709,ga sakit utok ko,brain pain,condition
1710,ga sakit utok man,brain pain,condition
1711,ga sakit utok subong,brain pain,condition
1712,ga suka kag kalibanga,vomiting and diarrhea,symptom
1713,gadugo acun itlog,testicular bleeding,condition
1714,gadugo acun itlug,testicular bleeding,condition
1715,gadugo akon ari,penile bleeding,condition
1716,gadugo akon ari ko,penile bleeding,condition
1717,gadugo akon ary,penile bleeding,condition
1718,gadugo akon ary ko,penile bleeding,condition
1719,gadugo akon bilad,vaginal bleeding,condition
1720,gadugo akon bilad ko,vaginal bleeding,condition
1721,gadugo akon bilat,vaginal bleeding,condition
1722,gadugo akon bilat ko,vaginal bleeding,condition
1723,gadugo akon itlog,testicular bleeding,condition
1724,gadugo akon itlog ko,testicular bleeding,condition
1725,gadugo akon itlug,testicular bleeding,condition
1726,gadugo akon itlug ko,testicular bleeding,condition
1727,gadugo ari ako,penile bleeding,condition
1728,gadugo ari akon,penile bleeding,condition
1729,gadugo ari akon gid,penile bleeding,condition
1730,gadugo ari akon subong,penile bleeding,condition
1731,gadugo ari gid ko,penile bleeding,condition
1732,gadugo ari ko,penile bleeding,condition
1733,gadugo ari ko ako,penile bleeding,condition
1734,gadugo ari ko akon,penile bleeding,condition
1735,gadugo ari ko akon gid,penile bleeding,condition
1736,gadugo ari ko akon subong,penile bleeding,condition
1737,gadugo ari ko gid,penile bleeding,condition
1738,gadugo ari ko gid ko,penile bleeding,condition
1739,gadugo ari ko ko,penile bleeding,condition
1740,gadugo ari ko ko gid,penile bleeding,condition
1741,gadugo ary ako,penile bleeding,condition
1742,gadugo ary akon,penile bleeding,condition
1743,gadugo ary akon gid,penile bleeding,condition
1744,gadugo ary akon subong,penile bleeding,condition
1745,gadugo ary gid ko,penile bleeding,condition
1746,gadugo ary ko,penile bleeding,condition
1747,gadugo ary ko ako,penile bleeding,condition
1748,gadugo ary ko akon,penile bleeding,condition
1749,gadugo ary ko akon gid,penile bleeding,condition
1750,gadugo ary ko akon subong,penile bleeding,condition
1751,gadugo ary ko gid,penile bleeding,condition
1752,gadugo ary ko gid ko,penile bleeding,condition
1753,gadugo ary ko ko,penile bleeding,condition
1754,gadugo ary ko ko gid,penile bleeding,condition
1755,gadugo bilad ako,vaginal bleeding,condition
1756,gadugo bilad akon,vaginal bleeding,condition
1757,gadugo bilad akon gid,vaginal bleeding,condition
1758,gadugo bilad akon subong,vaginal bleeding,condition
1759,gadugo bilad gid ko,vaginal bleeding,condition
1760,gadugo bilad ko,vaginal bleeding,condition
1761,gadugo bilad ko ako,vaginal bleeding,condition
1762,gadugo bilad ko akon,vaginal bleeding,condition
1763,gadugo bilad ko akon gid,vaginal bleeding,condition
1764,gadugo bilad ko akon subong,vaginal bleeding,condition
1765,gadugo bilad ko gid,vaginal bleeding,condition
1766,gadugo bilad ko gid ko,vaginal bleeding,condition
1767,gadugo bilad ko ko,vaginal bleeding,condition
1768,gadugo bilad ko ko gid,vaginal bleeding,condition
1769,gadugo bilat ako,vaginal bleeding,condition
1770,gadugo bilat akon,vaginal bleeding,condition
1771,gadugo bilat akon gid,vaginal bleeding,condition
1772,gadugo bilat akon subong,vaginal bleeding,condition
1773,gadugo bilat gid ko,vaginal bleeding,condition
1774,gadugo bilat ko,vaginal bleeding,condition
1775,gadugo bilat ko ako,vaginal bleeding,condition
1776,gadugo bilat ko akon,vaginal bleeding,condition
1777,gadugo bilat ko akon gid,vaginal bleeding,condition
1778,gadugo bilat ko akon subong,vaginal bleeding,condition
1779,gadugo bilat ko gid,vaginal bleeding,condition
1780,gadugo bilat ko gid ko,vaginal bleeding,condition
1781,gadugo bilat ko ko,vaginal bleeding,condition
1782,gadugo bilat ko ko gid,vaginal bleeding,condition
1783,gadugo gid acun itlog,testicular bleeding,condition
1784,gadugo gid akon ari,penile bleeding,condition
1785,gadugo gid akon ari ko,penile bleeding,condition
1786,gadugo gid akon ary,penile bleeding,condition
1787,gadugo gid akon ary ko,penile bleeding,condition
1788,gadugo gid akon bilad,vaginal bleeding,condition
1789,gadugo gid akon bilad ko,vaginal bleeding,condition
1790,gadugo gid akon bilat,vaginal bleeding,condition
1791,gadugo gid akon bilat ko,vaginal bleeding,condition
1792,gadugo gid akon itlog,testicular bleeding,condition
1793,gadugo gid akon itlog ko,testicular bleeding,condition
1794,gadugo gid akon itlug,testicular bleeding,condition
1795,gadugo gid akon itlug ko,testicular bleeding,condition
1796,gadugo gid ari ako,penile bleeding,condition
1797,gadugo gid ari akon,penile bleeding,condition
1798,gadugo gid ari akon gid,penile bleeding,condition
1799,gadugo gid ari akon subong,penile bleeding,condition
1800,gadugo gid ari gid ko,penile bleeding,condition
1801,gadugo gid ari ko,penile bleeding,condition
1802,gadugo gid ari ko ako,penile bleeding,condition
1803,gadugo gid ari ko akon,penile bleeding,condition
1804,gadugo gid ari ko akon gid,penile bleeding,condition
1805,gadugo gid ari ko akon subong,penile bleeding,condition
1806,gadugo gid ari ko gid,penile bleeding,condition
1807,gadugo gid ari ko gid ko,penile bleeding,condition
1808,gadugo gid ari ko ko,penile bleeding,condition
1809,gadugo gid ari ko ko gid,penile bleeding,condition
1810,gadugo gid ary ako,penile bleeding,condition
1811,gadugo gid ary akon,penile bleeding,condition
1812,gadugo gid ary akon gid,penile bleeding,condition
1813,gadugo gid ary akon subong,penile bleeding,condition
1814,gadugo gid ary gid ko,penile bleeding,condition
1815,gadugo gid ary ko,penile bleeding,condition
1816,gadugo gid ary ko ako,penile bleeding,condition
1817,gadugo gid ary ko akon,penile bleeding,condition
1818,gadugo gid ary ko akon gid,penile bleeding,condition
1819,gadugo gid ary ko akon subong,penile bleeding,condition
1820,gadugo gid ary ko gid,penile bleeding,condition
1821,gadugo gid ary ko gid ko,penile bleeding,condition
1822,gadugo gid ary ko ko,penile bleeding,condition
1823,gadugo gid ary ko ko gid,penile bleeding,condition
1824,gadugo gid bilad ako,vaginal bleeding,condition
1825,gadugo gid bilad akon,vaginal bleeding,condition
1826,gadugo gid bilad akon gid,vaginal bleeding,condition
1827,gadugo gid bilad akon subong,vaginal bleeding,condition
1828,gadugo gid bilad gid ko,vaginal bleeding,condition
1829,gadugo gid bilad ko,vaginal bleeding,condition
1830,gadugo gid bilad ko ako,vaginal bleeding,condition
1831,gadugo gid bilad ko akon,vaginal bleeding,condition
1832,gadugo gid bilad ko akon gid,vaginal bleeding,condition
1833,gadugo gid bilad ko akon subong,vaginal bleeding,condition
1834,gadugo gid bilad ko gid,vaginal bleeding,condition
1835,gadugo gid bilad ko gid ko,vaginal bleeding,condition
1836,gadugo gid bilad ko ko,vaginal bleeding,condition
1837,gadugo gid bilad ko ko gid,vaginal bleeding,condition
1838,gadugo gid bilat ako,vaginal bleeding,condition
1839,gadugo gid bilat akon,vaginal bleeding,condition
1840,gadugo gid bilat akon gid,vaginal bleeding,condition
1841,gadugo gid bilat akon subong,vaginal bleeding,condition
1842,gadugo gid bilat gid ko,vaginal bleeding,condition
1843,gadugo gid bilat ko,vaginal bleeding,condition
1844,gadugo gid bilat ko ako,vaginal bleeding,condition
1845,gadugo gid bilat ko akon,vaginal bleeding,condition
1846,gadugo gid bilat ko akon gid,vaginal bleeding,condition
1847,gadugo gid bilat ko akon subong,vaginal bleeding,condition
1848,gadugo gid bilat ko gid,vaginal bleeding,condition
1849,gadugo gid bilat ko gid ko,vaginal bleeding,condition
1850,gadugo gid bilat ko ko,vaginal bleeding,condition
1851,gadugo gid bilat ko ko gid,vaginal bleeding,condition
1852,gadugo gid itlog acun,testicular bleeding,condition
1853,gadugo gid itlog acun gid,testicular bleeding,condition
1854,gadugo gid itlog acun subong,testicular bleeding,condition
1855,gadugo gid itlog ako,testicular bleeding,condition
1856,gadugo gid itlog akon,testicular bleeding,condition
1857,gadugo gid itlog akon gid,testicular bleeding,condition
1858,gadugo gid itlog akon subong,testicular bleeding,condition
1859,gadugo gid itlog gid ko,testicular bleeding,condition
1860,gadugo gid itlog gid ku,testicular bleeding,condition
1861,gadugo gid itlog ko,testicular bleeding,condition
1862,gadugo gid itlog ko ako,testicular bleeding,condition
1863,gadugo gid itlog ko akon,testicular bleeding,condition
1864,gadugo gid itlog ko akon gid,testicular bleeding,condition
1865,gadugo gid itlog ko akon subong,testicular bleeding,condition
1866,gadugo gid itlog ko gid,testicular bleeding,condition
1867,gadugo gid itlog ko gid ko,testicular bleeding,condition
1868,gadugo gid itlog ko ko,testicular bleeding,condition
1869,gadugo gid itlog ko ko gid,testicular bleeding,condition
1870,gadugo gid itlog ku,testicular bleeding,condition
1871,gadugo gid itlog ku gid,testicular bleeding,condition
1872,gadugo gid itlug ako,testicular bleeding,condition
1873,gadugo gid itlug akon,testicular bleeding,condition
1874,gadugo gid itlug akon gid,testicular bleeding,condition
1875,gadugo gid itlug akon subong,testicular bleeding,condition
1876,gadugo gid itlug gid ko,testicular bleeding,condition
1877,gadugo gid itlug ko,testicular bleeding,condition
1878,gadugo gid itlug ko ako,testicular bleeding,condition
1879,gadugo gid itlug ko akon,testicular bleeding,condition
1880,gadugo gid itlug ko akon gid,testicular bleeding,condition
1881,gadugo gid itlug ko akon subong,testicular bleeding,condition
1882,gadugo gid itlug ko gid,testicular bleeding,condition
1883,gadugo gid itlug ko gid ko,testicular bleeding,condition
1884,gadugo gid itlug ko ko,testicular bleeding,condition
1885,gadugo gid itlug ko ko gid,testicular bleeding,condition
1886,gadugo itlog acun,testicular bleeding,condition
1887,gadugo itlog acun gid,testicular bleeding,condition
1888,gadugo itlog acun subong,testicular bleeding,condition
1889,gadugo itlog ako,testicular bleeding,condition
1890,gadugo itlog akon,testicular bleeding,condition
1891,gadugo itlog akon gid,testicular bleeding,condition
1892,gadugo itlog akon subong,testicular bleeding,condition
1893,gadugo itlog gid ko,testicular bleeding,condition
1894,gadugo itlog gid ku,testicular bleeding,condition
1895,gadugo itlog ko,testicular bleeding,condition
1896,gadugo itlog ko ako,testicular bleeding,condition
1897,gadugo itlog ko akon,testicular bleeding,condition
1898,gadugo itlog ko akon gid,testicular bleeding,condition
1899,gadugo itlog ko akon subong,testicular bleeding,condition
1900,gadugo itlog ko gid,testicular bleeding,condition
1901,gadugo itlog ko gid ko,testicular bleeding,condition
1902,gadugo itlog ko ko,testicular bleeding,condition
1903,gadugo itlog ko ko gid,testicular bleeding,condition
1904,gadugo itlog ku,testicular bleeding,condition
1905,gadugo itlog ku gid,testicular bleeding,condition
1906,gadugo itlug acun,testicular bleeding,condition
1907,gadugo itlug acun gid,testicular bleeding,condition
1908,gadugo itlug acun subong,testicular bleeding,condition
1909,gadugo itlug ako,testicular bleeding,condition
1910,gadugo itlug akon,testicular bleeding,condition
1911,gadugo itlug akon gid,testicular bleeding,condition
1912,gadugo itlug akon subong,testicular bleeding,condition
1913,gadugo itlug gid ko,testicular bleeding,condition
1914,gadugo itlug gid ku,testicular bleeding,condition
1915,gadugo itlug ko,testicular bleeding,condition
1916,gadugo itlug ko ako,testicular bleeding,condition
1917,gadugo itlug ko akon,testicular bleeding,condition
1918,gadugo itlug ko akon gid,testicular bleeding,condition
1919,gadugo itlug ko akon subong,testicular bleeding,condition
1920,gadugo itlug ko gid,testicular bleeding,condition
1921,gadugo itlug ko gid ko,testicular bleeding,condition
1922,gadugo itlug ko ko,testicular bleeding,condition
1923,gadugo itlug ko ko gid,testicular bleeding,condition
1924,gadugo itlug ku,testicular bleeding,condition
1925,gadugo itlug ku gid,testicular bleeding,condition
1926,gahabok abaga akon,shoulder swelling,condition
1927,gahabok abaga akon gid,shoulder swelling,condition
1928,gahabok abaga gid ko,shoulder swelling,condition
1929,gahabok abaga ko,shoulder swelling,condition
1930,gahabok abaga ko gid,shoulder swelling,condition
1931,gahabok abaga man,shoulder swelling,condition
1932,gahabok abaga subong,shoulder swelling,condition
1933,gahabok acun itlog,testicular swelling,condition
1934,gahabok acun itlog ko,testicular swelling,condition
1935,gahabok acun itlug,testicular swelling,condition
1936,gahabok acun itlug ko,testicular swelling,condition
1937,gahabok akon abaga,shoulder swelling,condition
1938,gahabok akon ari,penile swelling,condition
1939,gahabok akon ari ko,penile swelling,condition
1940,gahabok akon ary,penile swelling,condition
1941,gahabok akon ary ko,penile swelling,condition
1942,gahabok akon atay,liver swelling,condition
1943,gahabok akon awang,jaw swelling,condition
1944,gahabok akon baba,lip swelling,condition
1945,gahabok akon balat,skin swelling,condition
1946,gahabok akon batiis,leg swelling,condition
1947,gahabok akon bato,kidney swelling,condition
1948,gahabok akon bayag,scrotal swelling,condition
1949,gahabok akon baywang,waist swelling,condition
1950,gahabok akon bilad,vaginal swelling,condition
1951,gahabok akon bilad ko,vaginal swelling,condition
1952,gahabok akon bilat,vaginal swelling,condition
1953,gahabok akon bilat ko,vaginal swelling,condition
1954,gahabok akon buhok,hair swelling,condition
1955,gahabok akon bukong,forehead swelling,condition
1956,gahabok akon buuk,arm swelling,condition
1957,gahabok akon dalunggan,ear swelling,condition
1958,gahabok akon dila,swollen tongue,condition
1959,gahabok akon dughan,chest swelling,condition
1960,gahabok akon ilong,nasal swelling,condition
1961,gahabok akon itlog,testicular swelling,condition
1962,gahabok akon itlog ko,testicular swelling,condition
1963,gahabok akon itlog ku,testicular swelling,condition
1964,gahabok akon itlug,testicular swelling,condition
1965,gahabok akon itlug ko,testicular swelling,condition
1966,gahabok akon itlug ku,testicular swelling,condition
1967,gahabok akon kamot,hand swelling,condition
1968,gahabok akon kuko,nail swelling,condition
1969,gahabok akon lawas,body swelling,condition
1970,gahabok akon lawi,nape swelling,condition
1971,gahabok akon likod,back swelling,condition
1972,gahabok akon liog,neck swelling,condition
1973,gahabok akon mata,eye swelling,condition
1974,gahabok akon ngipon,tooth swelling,condition
1975,gahabok akon paa,foot swelling,condition
1976,gahabok akon pilas,wound swelling,condition
1977,gahabok akon pisngi,facial swelling,condition
1978,gahabok akon siko,elbow swelling,condition
1979,gahabok akon singit,groin swelling,condition
1980,gahabok akon tadlong,forearm swelling,condition
1981,gahabok akon tagipusuon,heart swelling,condition
1982,gahabok akon tai,buttocks swelling,condition
1983,gahabok akon tiil,swollen foot,symptom
1984,gahabok akon tikod,heel swelling,condition
1985,gahabok akon titi,breast swelling,condition
1986,gahabok akon tiyan,abdominal swelling,condition
1987,gahabok akon tudlo,finger swelling,condition
1988,gahabok akon tuhod,knee swelling,condition
1989,gahabok akon tungod,throat swelling,condition
1990,gahabok akon tungtong,ankle swelling,condition
1991,gahabok akon ulo,head swelling,condition
1992,gahabok akon utok,brain swelling,condition
1993,gahabok ang tiil,swollen foot,symptom
1994,gahabok ari ako,penile swelling,condition
1995,gahabok ari akon,penile swelling,condition
1996,gahabok ari akon gid,penile swelling,condition
1997,gahabok ari akon subong,penile swelling,condition
1998,gahabok ari gid ko,penile swelling,condition
1999,gahabok ari ko,penile swelling,condition
2000,gahabok ari ko ako,penile swelling,condition
2001,gahabok ari ko akon,penile swelling,condition
2002,gahabok ari ko akon gid,penile swelling,condition
2003,gahabok ari ko akon subong,penile swelling,condition
2004,gahabok ari ko gid,penile swelling,condition
2005,gahabok ari ko gid ko,penile swelling,condition
2006,gahabok ari ko ko,penile swelling,condition
2007,gahabok ari ko ko gid,penile swelling,condition
2008,gahabok ary ako,penile swelling,condition
2009,gahabok ary akon,penile swelling,condition
2010,gahabok ary akon gid,penile swelling,condition
2011,gahabok ary akon subong,penile swelling,condition
2012,gahabok ary gid ko,penile swelling,condition
2013,gahabok ary ko,penile swelling,condition
2014,gahabok ary ko ako,penile swelling,condition
2015,gahabok ary ko akon,penile swelling,condition
2016,gahabok ary ko akon gid,penile swelling,condition
2017,gahabok ary ko akon subong,penile swelling,condition
2018,gahabok ary ko gid,penile swelling,condition
2019,gahabok ary ko gid ko,penile swelling,condition
2020,gahabok ary ko ko,penile swelling,condition
2021,gahabok ary ko ko gid,penile swelling,condition
2022,gahabok atay akon,liver swelling,condition
2023,gahabok atay akon gid,liver swelling,condition
2024,gahabok atay gid ko,liver swelling,condition
2025,gahabok atay ko,liver swelling,condition
2026,gahabok atay ko gid,liver swelling,condition
2027,gahabok atay man,liver swelling,condition
2028,gahabok atay subong,liver swelling,condition
2029,gahabok awang akon,jaw swelling,condition
2030,gahabok awang akon gid,jaw swelling,condition
2031,gahabok awang gid ko,jaw swelling,condition
2032,gahabok awang ko,jaw swelling,condition
2033,gahabok awang ko gid,jaw swelling,condition
2034,gahabok awang man,jaw swelling,condition
2035,gahabok awang subong,jaw swelling,condition
2036,gahabok baba akon,lip swelling,condition
2037,gahabok baba akon gid,lip swelling,condition
2038,gahabok baba gid ko,lip swelling,condition
2039,gahabok baba ko,lip swelling,condition
2040,gahabok baba ko gid,lip swelling,condition
2041,gahabok baba man,lip swelling,condition
2042,gahabok baba subong,lip swelling,condition
2043,gahabok balat akon,skin swelling,condition
2044,gahabok balat akon gid,skin swelling,condition
2045,gahabok balat gid ko,skin swelling,condition
2046,gahabok balat ko,skin swelling,condition
2047,gahabok balat ko gid,skin swelling,condition
2048,gahabok balat man,skin swelling,condition
2049,gahabok balat subong,skin swelling,condition
2050,gahabok batiis akon,leg swelling,condition
2051,gahabok batiis akon gid,leg swelling,condition
2052,gahabok batiis gid ko,leg swelling,condition
2053,gahabok batiis ko,leg swelling,condition
2054,gahabok batiis ko gid,leg swelling,condition
2055,gahabok batiis man,leg swelling,condition
2056,gahabok batiis subong,leg swelling,condition
2057,gahabok bato akon,kidney swelling,condition
2058,gahabok bato akon gid,kidney swelling,condition
2059,gahabok bato gid ko,kidney swelling,condition
2060,gahabok bato ko,kidney swelling,condition
2061,gahabok bato ko gid,kidney swelling,condition
2062,gahabok bato man,kidney swelling,condition
2063,gahabok bato subong,kidney swelling,condition
2064,gahabok bayag ako,scrotal swelling,condition
2065,gahabok bayag akon,scrotal swelling,condition
2066,gahabok bayag akon gid,scrotal swelling,condition
2067,gahabok bayag akon subong,scrotal swelling,condition
2068,gahabok bayag gid ko,scrotal swelling,condition
2069,gahabok bayag ko,scrotal swelling,condition
2070,gahabok bayag ko gid,scrotal swelling,condition
2071,gahabok baywang akon,waist swelling,condition
2072,gahabok baywang akon gid,waist swelling,condition
2073,gahabok baywang gid ko,waist swelling,condition
2074,gahabok baywang ko,waist swelling,condition
2075,gahabok baywang ko gid,waist swelling,condition
2076,gahabok baywang man,waist swelling,condition
2077,gahabok baywang subong,waist swelling,condition
2078,gahabok bilad ako,vaginal swelling,condition
2079,gahabok bilad akon,vaginal swelling,condition
2080,gahabok bilad akon gid,vaginal swelling,condition
2081,gahabok bilad akon subong,vaginal swelling,condition
2082,gahabok bilad gid ko,vaginal swelling,condition
2083,gahabok bilad ko,vaginal swelling,condition
2084,gahabok bilad ko ako,vaginal swelling,condition
2085,gahabok bilad ko akon,vaginal swelling,condition
2086,gahabok bilad ko akon gid,vaginal swelling,condition
2087,gahabok bilad ko akon subong,vaginal swelling,condition
