term_id,term,english,concept,language,status
,gahubag itlog gid ku,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko acun,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko acun gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko acun subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko ako,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko akon,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko akon gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko akon subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko gid ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ko ko gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku ako,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku akon,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku akon gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku akon subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku gid ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlog ku ko gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug acun,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug acun gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug acun subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ako,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug akon,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug akon gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug akon subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug gid ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug gid ku,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko acun,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko acun gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko acun subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko ako,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko akon,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko akon gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko akon subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko gid ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ko ko gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku ako,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku akon,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku akon gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku akon subong,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku gid ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku ko,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag itlug ku ko gid,testicular swelling,testicular_swelling,hiligaynon,active
,gahubag kamot akon,hand swelling,hand_swelling,hiligaynon,active
,gahubag kamot akon gid,hand swelling,hand_swelling,hiligaynon,active
,gahubag kamot gid ko,hand swelling,hand_swelling,hiligaynon,active
,gahubag kamot ko,hand swelling,hand_swelling,hiligaynon,active
,gahubag kamot ko gid,hand swelling,hand_swelling,hiligaynon,active
,gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,hand_swelling_with_bleeding,hiligaynon,active
,gahubag kamot ko upod sang nagdugo kamot ko,hand swelling with bleeding,hand_swelling_with_bleeding,hiligaynon,active
,gahubag kamot man,hand swelling,hand_swelling,hiligaynon,active
,gahubag kamot subong,hand swelling,hand_swelling,hiligaynon,active
,gahubag kuko akon,nail swelling,nail_swelling,hiligaynon,active
,gahubag kuko akon gid,nail swelling,nail_swelling,hiligaynon,active
,gahubag kuko gid ko,nail swelling,nail_swelling,hiligaynon,active
,gahubag kuko ko,nail swelling,nail_swelling,hiligaynon,active
,gahubag kuko ko gid,nail swelling,nail_swelling,hiligaynon,active
,gahubag kuko man,nail swelling,nail_swelling,hiligaynon,active
,gahubag kuko subong,nail swelling,nail_swelling,hiligaynon,active
,gahubag lawas akon,body swelling,body_swelling,hiligaynon,active
,gahubag lawas akon gid,body swelling,body_swelling,hiligaynon,active
,gahubag lawas gid ko,body swelling,body_swelling,hiligaynon,active
,gahubag lawas ko,body swelling,body_swelling,hiligaynon,active
,gahubag lawas ko gid,body swelling,body_swelling,hiligaynon,active
,gahubag lawas ko kag budlay magginhawa,anaphylaxis,anaphylaxis,hiligaynon,active
,gahubag lawas ko kag gakatol,allergic reaction with itching,allergic_reaction_with_itching,hiligaynon,active
,gahubag lawas ko kag gakatol lawas ko,body swelling with itching,body_swelling_with_itching,hiligaynon,active
,gahubag lawas ko upod sang gakatol lawas ko,body swelling with itching,body_swelling_with_itching,hiligaynon,active
,gahubag lawas man,body swelling,body_swelling,hiligaynon,active
,gahubag lawas subong,body swelling,body_swelling,hiligaynon,active
,gahubag lawi akon,nape swelling,nape_swelling,hiligaynon,active
,gahubag lawi akon gid,nape swelling,nape_swelling,hiligaynon,active
,gahubag lawi gid ko,nape swelling,nape_swelling,hiligaynon,active
,gahubag lawi ko,nape swelling,nape_swelling,hiligaynon,active
,gahubag lawi ko gid,nape swelling,nape_swelling,hiligaynon,active
,gahubag lawi man,nape swelling,nape_swelling,hiligaynon,active
,gahubag lawi subong,nape swelling,nape_swelling,hiligaynon,active
,gahubag likod akon,back swelling,back_swelling,hiligaynon,active
,gahubag likod akon gid,back swelling,back_swelling,hiligaynon,active
,gahubag likod gid ko,back swelling,back_swelling,hiligaynon,active
,gahubag likod ko,back swelling,back_swelling,hiligaynon,active
,gahubag likod ko gid,back swelling,back_swelling,hiligaynon,active
,gahubag likod man,back swelling,back_swelling,hiligaynon,active
,gahubag likod subong,back swelling,back_swelling,hiligaynon,active
,gahubag liog akon,neck swelling,neck_swelling,hiligaynon,active
,gahubag liog akon gid,neck swelling,neck_swelling,hiligaynon,active
,gahubag liog gid ko,neck swelling,neck_swelling,hiligaynon,active
,gahubag liog ko,neck swelling,neck_swelling,hiligaynon,active
,gahubag liog ko gid,neck swelling,neck_swelling,hiligaynon,active
,gahubag liog man,neck swelling,neck_swelling,hiligaynon,active
,gahubag liog subong,neck swelling,neck_swelling,hiligaynon,active
,gahubag mata akon,eye swelling,eye_swelling,hiligaynon,active
,gahubag mata akon gid,eye swelling,eye_swelling,hiligaynon,active
,gahubag mata gid ko,eye swelling,eye_swelling,hiligaynon,active
,gahubag mata ko,eye swelling,eye_swelling,hiligaynon,active
,gahubag mata ko gid,eye swelling,eye_swelling,hiligaynon,active
,gahubag mata ko kag gahika ko,eye swelling with cough,eye_swelling_with_cough,hiligaynon,active
,gahubag mata ko kag ilong ko,allergic rhinitis,allergic_rhinitis,hiligaynon,active
,gahubag mata ko upod sang gahika ko,eye swelling with cough,eye_swelling_with_cough,hiligaynon,active
,gahubag mata man,eye swelling,eye_swelling,hiligaynon,active
,gahubag mata subong,eye swelling,eye_swelling,hiligaynon,active
,gahubag ngipon akon,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag ngipon akon gid,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag ngipon gid ko,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag ngipon ko,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag ngipon ko gid,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag ngipon man,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag ngipon subong,tooth swelling,tooth_swelling,hiligaynon,active
,gahubag paa akon,foot swelling,foot_swelling,hiligaynon,active
,gahubag paa akon gid,foot swelling,foot_swelling,hiligaynon,active
,gahubag paa gid ko,foot swelling,foot_swelling,hiligaynon,active
,gahubag paa ko,foot swelling,foot_swelling,hiligaynon,active
,gahubag paa ko gid,foot swelling,foot_swelling,hiligaynon,active
,gahubag paa man,foot swelling,foot_swelling,hiligaynon,active
,gahubag paa subong,foot swelling,foot_swelling,hiligaynon,active
,gahubag pilas akon,wound swelling,wound_swelling,hiligaynon,active
,gahubag pilas akon gid,wound swelling,wound_swelling,hiligaynon,active
,gahubag pilas gid ko,wound swelling,wound_swelling,hiligaynon,active
,gahubag pilas ko,wound swelling,wound_swelling,hiligaynon,active
,gahubag pilas ko gid,wound swelling,wound_swelling,hiligaynon,active
,gahubag pilas man,wound swelling,wound_swelling,hiligaynon,active
,gahubag pilas subong,wound swelling,wound_swelling,hiligaynon,active
,gahubag pisngi akon,facial swelling,facial_swelling,hiligaynon,active
,gahubag pisngi akon gid,facial swelling,facial_swelling,hiligaynon,active
,gahubag pisngi gid ko,facial swelling,facial_swelling,hiligaynon,active
,gahubag pisngi ko,facial swelling,facial_swelling,hiligaynon,active
,gahubag pisngi ko gid,facial swelling,facial_swelling,hiligaynon,active
,gahubag pisngi man,facial swelling,facial_swelling,hiligaynon,active
,gahubag pisngi subong,facial swelling,facial_swelling,hiligaynon,active
,gahubag siko akon,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag siko akon gid,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag siko gid ko,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag siko ko,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag siko ko gid,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag siko man,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag siko subong,elbow swelling,elbow_swelling,hiligaynon,active
,gahubag singit ako,groin swelling,groin_swelling,hiligaynon,active
,gahubag singit akon,groin swelling,groin_swelling,hiligaynon,active
,gahubag singit akon gid,groin swelling,groin_swelling,hiligaynon,active
,gahubag singit akon subong,groin swelling,groin_swelling,hiligaynon,active
,gahubag singit gid ko,groin swelling,groin_swelling,hiligaynon,active
,gahubag singit ko,groin swelling,groin_swelling,hiligaynon,active
,gahubag singit ko gid,groin swelling,groin_swelling,hiligaynon,active
,gahubag tadlong akon,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tadlong akon gid,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tadlong gid ko,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tadlong ko,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tadlong ko gid,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tadlong man,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tadlong subong,forearm swelling,forearm_swelling,hiligaynon,active
,gahubag tagipusuon akon,heart swelling,heart_swelling,hiligaynon,active
,gahubag tagipusuon akon gid,heart swelling,heart_swelling,hiligaynon,active
,gahubag tagipusuon gid ko,heart swelling,heart_swelling,hiligaynon,active
,gahubag tagipusuon ko,heart swelling,heart_swelling,hiligaynon,active
,gahubag tagipusuon ko gid,heart swelling,heart_swelling,hiligaynon,active
,gahubag tagipusuon man,heart swelling,heart_swelling,hiligaynon,active
,gahubag tagipusuon subong,heart swelling,heart_swelling,hiligaynon,active
,gahubag tai akon,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tai akon gid,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tai gid ko,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tai ko,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tai ko gid,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tai man,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tai subong,buttocks swelling,buttocks_swelling,hiligaynon,active
,gahubag tiil akon,foot swelling,foot_swelling,hiligaynon,active
,gahubag tiil akon gid,foot swelling,foot_swelling,hiligaynon,active
,gahubag tiil gid ko,foot swelling,foot_swelling,hiligaynon,active
,gahubag tiil ko,foot swelling,foot_swelling,hiligaynon,active
,gahubag tiil ko gid,foot swelling,foot_swelling,hiligaynon,active
,gahubag tiil man,foot swelling,foot_swelling,hiligaynon,active
,gahubag tiil subong,foot swelling,foot_swelling,hiligaynon,active
,gahubag tikod akon,heel swelling,heel_swelling,hiligaynon,active
,gahubag tikod akon gid,heel swelling,heel_swelling,hiligaynon,active
,gahubag tikod gid ko,heel swelling,heel_swelling,hiligaynon,active
,gahubag tikod ko,heel swelling,heel_swelling,hiligaynon,active
,gahubag tikod ko gid,heel swelling,heel_swelling,hiligaynon,active
,gahubag tikod man,heel swelling,heel_swelling,hiligaynon,active
,gahubag tikod subong,heel swelling,heel_swelling,hiligaynon,active
,gahubag titi akon,breast swelling,breast_swelling,hiligaynon,active
,gahubag titi akon gid,breast swelling,breast_swelling,hiligaynon,active
,gahubag titi gid ko,breast swelling,breast_swelling,hiligaynon,active
,gahubag titi ko,breast swelling,breast_swelling,hiligaynon,active
,gahubag titi ko gid,breast swelling,breast_swelling,hiligaynon,active
,gahubag titi man,breast swelling,breast_swelling,hiligaynon,active
,gahubag titi subong,breast swelling,breast_swelling,hiligaynon,active
,gahubag tiyan akon,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan akon gid,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan gid ko,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko 3 ka adlaw,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko 5 ka adlaw,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko bag-o lang,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko dugay na,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko gahapon,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko gid,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko kagapon,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko semana na,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan ko subong lang,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan man,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tiyan subong,abdominal swelling,abdominal_swelling,hiligaynon,active
,gahubag tudlo akon,finger swelling,finger_swelling,hiligaynon,active
,gahubag tudlo akon gid,finger swelling,finger_swelling,hiligaynon,active
,gahubag tudlo gid ko,finger swelling,finger_swelling,hiligaynon,active
,gahubag tudlo ko,finger swelling,finger_swelling,hiligaynon,active
,gahubag tudlo ko gid,finger swelling,finger_swelling,hiligaynon,active
,gahubag tudlo man,finger swelling,finger_swelling,hiligaynon,active
,gahubag tudlo subong,finger swelling,finger_swelling,hiligaynon,active
,gahubag tuhod akon,knee swelling,knee_swelling,hiligaynon,active
,gahubag tuhod akon gid,knee swelling,knee_swelling,hiligaynon,active
,gahubag tuhod gid ko,knee swelling,knee_swelling,hiligaynon,active
,gahubag tuhod ko,knee swelling,knee_swelling,hiligaynon,active
,gahubag tuhod ko gid,knee swelling,knee_swelling,hiligaynon,active
,gahubag tuhod man,knee swelling,knee_swelling,hiligaynon,active
,gahubag tuhod subong,knee swelling,knee_swelling,hiligaynon,active
,gahubag tungod acun,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod acun gid,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod akon,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod akon gid,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod gid ko,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod gid ku,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod ko,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod ko gid,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod ko kag ginahilanat ko,throat swelling with fever,throat_swelling_with_fever,hiligaynon,active
,gahubag tungod ko upod sang ginahilanat ko,throat swelling with fever,throat_swelling_with_fever,hiligaynon,active
,gahubag tungod ku,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod ku gid,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod man,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungod subong,throat swelling,throat_swelling,hiligaynon,active
,gahubag tungtong akon,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag tungtong akon gid,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag tungtong gid ko,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag tungtong ko,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag tungtong ko gid,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag tungtong man,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag tungtong subong,ankle swelling,ankle_swelling,hiligaynon,active
,gahubag ulo akon,head swelling,head_swelling,hiligaynon,active
,gahubag ulo akon gid,head swelling,head_swelling,hiligaynon,active
,gahubag ulo gid ko,head swelling,head_swelling,hiligaynon,active
,gahubag ulo ko,head swelling,head_swelling,hiligaynon,active
,gahubag ulo ko gid,head swelling,head_swelling,hiligaynon,active
,gahubag ulo man,head swelling,head_swelling,hiligaynon,active
,gahubag ulo subong,head swelling,head_swelling,hiligaynon,active
,gahubag utok akon,brain swelling,brain_swelling,hiligaynon,active
,gahubag utok akon gid,brain swelling,brain_swelling,hiligaynon,active
,gahubag utok gid ko,brain swelling,brain_swelling,hiligaynon,active
,gahubag utok ko,brain swelling,brain_swelling,hiligaynon,active
,gahubag utok ko gid,brain swelling,brain_swelling,hiligaynon,active
,gahubag utok man,brain swelling,brain_swelling,hiligaynon,active
,gahubag utok subong,brain swelling,brain_swelling,hiligaynon,active
,gakadugo acun itlog,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo acun itlug,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo akon ari,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo akon ari ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo akon ary,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo akon ary ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo akon bilad,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo akon bilad ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo akon bilat,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo akon bilat ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo akon itlog,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo akon itlog ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo akon itlug,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo akon itlug ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo ari ako,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari akon,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari akon gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari akon subong,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari gid ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko ako,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko akon,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko akon gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko akon subong,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko gid ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ari ko ko gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ako,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary akon,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary akon gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary akon subong,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary gid ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko ako,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko akon,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko akon gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko akon subong,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko gid ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko ko,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo ary ko ko gid,penile bleeding,penile_bleeding,hiligaynon,active
,gakadugo bilad ako,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad akon,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad akon gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad akon subong,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad gid ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko ako,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko akon,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko akon gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko akon subong,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko gid ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilad ko ko gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ako,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat akon,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat akon gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat akon subong,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat gid ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko ako,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko akon,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko akon gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko akon subong,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko gid ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko ko,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo bilat ko ko gid,vaginal bleeding,vaginal_bleeding,hiligaynon,active
,gakadugo itlog acun,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog acun gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog acun subong,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ako,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog akon,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog akon gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog akon subong,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog gid ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog gid ku,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko ako,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko akon,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko akon gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko akon subong,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko gid ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ko ko gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ku,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlog ku gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug acun,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug acun gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug acun subong,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ako,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug akon,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug akon gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug akon subong,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug gid ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug gid ku,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko ako,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko akon,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko akon gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko akon subong,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko gid ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko ko,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ko ko gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ku,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadugo itlug ku gid,testicular bleeding,testicular_bleeding,hiligaynon,active
,gakadula gana kaon,loss of appetite,loss_of_appetite,hiligaynon,active
,gakalibanga,diarrhea,diarrhea,hiligaynon,active
,gakatol akon ari,penile itching,penile_itching,hiligaynon,active
,gakatol akon ari ko,penile itching,penile_itching,hiligaynon,active
,gakatol akon ary,penile itching,penile_itching,hiligaynon,active
,gakatol akon ary ko,penile itching,penile_itching,hiligaynon,active
,gakatol akon bilad,vaginal itching,vaginal_itching,hiligaynon,active
,gakatol akon bilad ko,vaginal itching,vaginal_itching,hiligaynon,active
,gakatol akon bilat,vaginal itching,vaginal_itching,hiligaynon,active
,gakatol akon bilat ko,vaginal itching,vaginal_itching,hiligaynon,active
,gakatol akon itlog,testicular itching,testicular_itching,hiligaynon,active
