term_id,term,english,concept,language,status
,gasakit bilad ko ako,vaginal pain,vaginal_pain,filipino,active
,gasakit bilad ko akon,vaginal pain,vaginal_pain,filipino,active
,gasakit bilad ko akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit bilad ko akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat ako,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat akon,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat ko ako,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat ko akon,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat ko akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit bilat ko akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit buhok akon,hair pain,hair_pain,filipino,active
,gasakit bukong akon,forehead pain,forehead_pain,filipino,active
,gasakit bukong gid ko,forehead pain,forehead_pain,filipino,active
,gasakit bukong ko,forehead pain,forehead_pain,filipino,active
,gasakit bukong man,forehead pain,forehead_pain,filipino,active
,gasakit bukong subong,forehead pain,forehead_pain,filipino,active
,gasakit buuk akon,arm pain,arm_pain,filipino,active
,gasakit dalunggan akon,ear pain,ear_pain,filipino,active
,gasakit dila akon,tongue pain,tongue_pain,filipino,active
,gasakit dughan ako,chest pain,chest_pain,filipino,active
,gasakit dughan akon,chest pain,chest_pain,filipino,active
,gasakit dughan akon gid,chest pain,chest_pain,filipino,active
,gasakit dughan akon subong,chest pain,chest_pain,filipino,active
,gasakit gid akon ari,penile pain,penile_pain,filipino,active
,gasakit gid akon ari ko,penile pain,penile_pain,filipino,active
,gasakit gid akon ary,penile pain,penile_pain,filipino,active
,gasakit gid akon ary ko,penile pain,penile_pain,filipino,active
,gasakit gid akon bayag,scrotal pain,scrotal_pain,filipino,active
,gasakit gid akon bilad,vaginal pain,vaginal_pain,filipino,active
,gasakit gid akon bilad ko,vaginal pain,vaginal_pain,filipino,active
,gasakit gid akon bilat,vaginal pain,vaginal_pain,filipino,active
,gasakit gid akon bilat ko,vaginal pain,vaginal_pain,filipino,active
,gasakit gid akon itlog,testicular pain,testicular_pain,filipino,active
,gasakit gid akon itlog ko,testicular pain,testicular_pain,filipino,active
,gasakit gid akon itlog ku,testicular pain,testicular_pain,filipino,active
,gasakit gid akon itlug,testicular pain,testicular_pain,filipino,active
,gasakit gid akon itlug ko,testicular pain,testicular_pain,filipino,active
,gasakit gid akon itlug ku,testicular pain,testicular_pain,filipino,active
,gasakit gid akon kipay,vulvar pain,vulvar_pain,filipino,active
,gasakit gid akon singit,groin pain,groin_pain,filipino,active
,gasakit gid ari ako,penile pain,penile_pain,filipino,active
,gasakit gid ari akon,penile pain,penile_pain,filipino,active
,gasakit gid ari akon gid,penile pain,penile_pain,filipino,active
,gasakit gid ari akon subong,penile pain,penile_pain,filipino,active
,gasakit gid ari ko ako,penile pain,penile_pain,filipino,active
,gasakit gid ari ko akon,penile pain,penile_pain,filipino,active
,gasakit gid ari ko akon gid,penile pain,penile_pain,filipino,active
,gasakit gid ari ko akon subong,penile pain,penile_pain,filipino,active
,gasakit gid ary ako,penile pain,penile_pain,filipino,active
,gasakit gid ary akon,penile pain,penile_pain,filipino,active
,gasakit gid ary akon gid,penile pain,penile_pain,filipino,active
,gasakit gid ary akon subong,penile pain,penile_pain,filipino,active
,gasakit gid ary ko ako,penile pain,penile_pain,filipino,active
,gasakit gid ary ko akon,penile pain,penile_pain,filipino,active
,gasakit gid ary ko akon gid,penile pain,penile_pain,filipino,active
,gasakit gid ary ko akon subong,penile pain,penile_pain,filipino,active
,gasakit gid bayag ako,scrotal pain,scrotal_pain,filipino,active
,gasakit gid bayag akon,scrotal pain,scrotal_pain,filipino,active
,gasakit gid bayag akon gid,scrotal pain,scrotal_pain,filipino,active
,gasakit gid bayag akon subong,scrotal pain,scrotal_pain,filipino,active
,gasakit gid bilad ako,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad akon,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad ko ako,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad ko akon,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad ko akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilad ko akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat ako,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat akon,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat ko ako,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat ko akon,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat ko akon gid,vaginal pain,vaginal_pain,filipino,active
,gasakit gid bilat ko akon subong,vaginal pain,vaginal_pain,filipino,active
,gasakit gid itlog ako,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog akon,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog akon gid,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog akon subong,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ko ako,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ko akon,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ko akon gid,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ko akon subong,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ku ako,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ku akon,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ku akon gid,testicular pain,testicular_pain,filipino,active
,gasakit gid itlog ku akon subong,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ako,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug akon,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug akon gid,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug akon subong,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ko ako,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ko akon,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ko akon gid,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ko akon subong,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ku ako,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ku akon,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ku akon gid,testicular pain,testicular_pain,filipino,active
,gasakit gid itlug ku akon subong,testicular pain,testicular_pain,filipino,active
,gasakit gid kipay ako,vulvar pain,vulvar_pain,filipino,active
,gasakit gid kipay akon,vulvar pain,vulvar_pain,filipino,active
,gasakit gid kipay akon gid,vulvar pain,vulvar_pain,filipino,active
,gasakit gid kipay akon subong,vulvar pain,vulvar_pain,filipino,active
,gasakit gid singit ako,groin pain,groin_pain,filipino,active
,gasakit gid singit akon,groin pain,groin_pain,filipino,active
,gasakit gid singit akon gid,groin pain,groin_pain,filipino,active
,gasakit gid singit akon subong,groin pain,groin_pain,filipino,active
,gasakit ilong akon,nose pain,nose_pain,filipino,active
,gasakit ilong gid ko,nose pain,nose_pain,filipino,active
,gasakit ilong ko,nose pain,nose_pain,filipino,active
,gasakit ilong man,nose pain,nose_pain,filipino,active
,gasakit ilong subong,nose pain,nose_pain,filipino,active
,gasakit itlog ako,testicular pain,testicular_pain,filipino,active
,gasakit itlog akon,testicular pain,testicular_pain,filipino,active
,gasakit itlog akon gid,testicular pain,testicular_pain,filipino,active
,gasakit itlog akon subong,testicular pain,testicular_pain,filipino,active
,gasakit itlog ko ako,testicular pain,testicular_pain,filipino,active
,gasakit itlog ko akon,testicular pain,testicular_pain,filipino,active
,gasakit itlog ko akon gid,testicular pain,testicular_pain,filipino,active
,gasakit itlog ko akon subong,testicular pain,testicular_pain,filipino,active
,gasakit itlog ku ako,testicular pain,testicular_pain,filipino,active
,gasakit itlog ku akon,testicular pain,testicular_pain,filipino,active
,gasakit itlog ku akon gid,testicular pain,testicular_pain,filipino,active
,gasakit itlog ku akon subong,testicular pain,testicular_pain,filipino,active
,gasakit itlug ako,testicular pain,testicular_pain,filipino,active
,gasakit itlug akon,testicular pain,testicular_pain,filipino,active
,gasakit itlug akon gid,testicular pain,testicular_pain,filipino,active
,gasakit itlug akon subong,testicular pain,testicular_pain,filipino,active
,gasakit itlug ko ako,testicular pain,testicular_pain,filipino,active
,gasakit itlug ko akon,testicular pain,testicular_pain,filipino,active
,gasakit itlug ko akon gid,testicular pain,testicular_pain,filipino,active
,gasakit itlug ko akon subong,testicular pain,testicular_pain,filipino,active
,gasakit itlug ku ako,testicular pain,testicular_pain,filipino,active
,gasakit itlug ku akon,testicular pain,testicular_pain,filipino,active
,gasakit itlug ku akon gid,testicular pain,testicular_pain,filipino,active
,gasakit itlug ku akon subong,testicular pain,testicular_pain,filipino,active
,gasakit kamot akon,hand pain,hand_pain,filipino,active
,gasakit kipay ako,vulvar pain,vulvar_pain,filipino,active
,gasakit kipay akon,vulvar pain,vulvar_pain,filipino,active
,gasakit kipay akon gid,vulvar pain,vulvar_pain,filipino,active
,gasakit kipay akon subong,vulvar pain,vulvar_pain,filipino,active
,gasakit kuko akon,nail pain,nail_pain,filipino,active
,gasakit lawas akon,body pain,body_pain,filipino,active
,gasakit lawi akon,nape pain,nape_pain,filipino,active
,gasakit likod ako,back pain,back_pain,filipino,active
,gasakit likod akon,back pain,back_pain,filipino,active
,gasakit likod akon gid,back pain,back_pain,filipino,active
,gasakit likod akon subong,back pain,back_pain,filipino,active
,gasakit liog ako,neck pain,neck_pain,filipino,active
,gasakit liog akon,neck pain,neck_pain,filipino,active
,gasakit liog akon gid,neck pain,neck_pain,filipino,active
,gasakit liog akon subong,neck pain,neck_pain,filipino,active
,gasakit mata ako,eye pain,eye_pain,filipino,active
,gasakit mata akon,eye pain,eye_pain,filipino,active
,gasakit mata akon gid,eye pain,eye_pain,filipino,active
,gasakit mata akon subong,eye pain,eye_pain,filipino,active
,gasakit mata ko ako,eye pain,eye_pain,filipino,active
,gasakit mata ko akon,eye pain,eye_pain,filipino,active
,gasakit mata ko akon gid,eye pain,eye_pain,filipino,active
,gasakit mata ko akon subong,eye pain,eye_pain,filipino,active
,gasakit mata ko gid ako,eye pain,eye_pain,filipino,active
,gasakit mata ko gid akon,eye pain,eye_pain,filipino,active
,gasakit mata ko gid akon gid,eye pain,eye_pain,filipino,active
,gasakit mata ko gid akon subong,eye pain,eye_pain,filipino,active
,gasakit ngipon akon,tooth pain,tooth_pain,filipino,active
,gasakit olok ako,head pain,head_pain,filipino,active
,gasakit olok akon,head pain,head_pain,filipino,active
,gasakit olok akon gid,head pain,head_pain,filipino,active
,gasakit olok akon subong,head pain,head_pain,filipino,active
,gasakit paa akon,foot pain,foot_pain,filipino,active
,gasakit pilas akon,wound pain,wound_pain,filipino,active
,gasakit pisngi akon,cheek pain,cheek_pain,filipino,active
,gasakit siko ako,elbow pain,elbow_pain,filipino,active
,gasakit siko akon,elbow pain,elbow_pain,filipino,active
,gasakit siko akon gid,elbow pain,elbow_pain,filipino,active
,gasakit siko akon subong,elbow pain,elbow_pain,filipino,active
,gasakit singit ako,groin pain,groin_pain,filipino,active
,gasakit singit akon,groin pain,groin_pain,filipino,active
,gasakit singit akon gid,groin pain,groin_pain,filipino,active
,gasakit singit akon subong,groin pain,groin_pain,filipino,active
,gasakit tadlong akon,forearm pain,forearm_pain,filipino,active
,gasakit tadlong gid ko,forearm pain,forearm_pain,filipino,active
,gasakit tadlong ko,forearm pain,forearm_pain,filipino,active
,gasakit tadlong man,forearm pain,forearm_pain,filipino,active
,gasakit tadlong subong,forearm pain,forearm_pain,filipino,active
,gasakit tagipusuon akon,heart pain,heart_pain,filipino,active
,gasakit tai akon,buttocks pain,buttocks_pain,filipino,active
,gasakit tiil akon,foot pain,foot_pain,filipino,active
,gasakit tikod ako,heel pain,heel_pain,filipino,active
,gasakit tikod akon,heel pain,heel_pain,filipino,active
,gasakit tikod akon gid,heel pain,heel_pain,filipino,active
,gasakit tikod akon subong,heel pain,heel_pain,filipino,active
,gasakit tina-i ako,abdominal pain,abdominal_pain,filipino,active
,gasakit tina-i akon,abdominal pain,abdominal_pain,filipino,active
,gasakit tina-i akon gid,abdominal pain,abdominal_pain,filipino,active
,gasakit tina-i akon subong,abdominal pain,abdominal_pain,filipino,active
,gasakit titi akon,breast pain,breast_pain,filipino,active
,gasakit tiyan ako,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan akon,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan akon gid,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan akon subong,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan ko ako,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan ko akon,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan ko akon gid,abdominal pain,abdominal_pain,filipino,active
,gasakit tiyan ko akon subong,abdominal pain,abdominal_pain,filipino,active
,gasakit tudlo akon,finger pain,finger_pain,filipino,active
,gasakit tuhod ako,knee pain,knee_pain,filipino,active
,gasakit tuhod akon,knee pain,knee_pain,filipino,active
,gasakit tuhod akon gid,knee pain,knee_pain,filipino,active
,gasakit tuhod akon subong,knee pain,knee_pain,filipino,active
,gasakit tungod akon,throat pain,throat_pain,filipino,active
,gasakit tungtong ako,ankle pain,ankle_pain,filipino,active
,gasakit tungtong akon,ankle pain,ankle_pain,filipino,active
,gasakit tungtong akon gid,ankle pain,ankle_pain,filipino,active
,gasakit tungtong akon subong,ankle pain,ankle_pain,filipino,active
,gasakit tungtong gid ko,ankle pain,ankle_pain,filipino,active
,gasakit tungtong ko,ankle pain,ankle_pain,filipino,active
,gasakit tungtong ko gid,ankle pain,ankle_pain,filipino,active
,gasakit tungtong ko man,ankle pain,ankle_pain,filipino,active
,gasakit tungtong man,ankle pain,ankle_pain,filipino,active
,gasakit tungtong subong,ankle pain,ankle_pain,filipino,active
,gasakit ulo ako,head pain,head_pain,filipino,active
,gasakit ulo akon,head pain,head_pain,filipino,active
,gasakit ulo akon gid,head pain,head_pain,filipino,active
,gasakit ulo akon subong,head pain,head_pain,filipino,active
,gasakit ulo ko ako,head pain,head_pain,filipino,active
,gasakit ulo ko akon,head pain,head_pain,filipino,active
,gasakit ulo ko akon gid,head pain,head_pain,filipino,active
,gasakit ulo ko akon subong,head pain,head_pain,filipino,active
,gasakit ulo ko subong lang,head pain,head_pain,filipino,active
,gasakit ulo ko upod sang ginahilanat ko,head pain with fever,head_pain_with_fever,filipino,active
,gasakit utok akon,brain pain,brain_pain,filipino,active
,gin kagat ahas ako,snake bite,snake_bite,filipino,active
,gin kagat ako sang ahas,snake bite,snake_bite,filipino,active
,gin kagat ako sang ido,dog bite,dog_bite,filipino,active
,gin kagat ido ako,dog bite,dog_bite,filipino,active
,gin kagat sang ahas ko,snake bite,snake_bite,filipino,active
,gin kagat sang ido ko,dog bite,dog_bite,filipino,active
,gin kagat sang ido ko kag nagdugo,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko budlay gid gid ko magginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid gid ko magginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid gid ko magginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid gid ko magginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid gid ko magginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko mag ginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko mag ginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko mag ginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko mag ginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko mag ginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko magginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko magginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko magginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko magginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko budlay gid ko magginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ko gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ko may nana akon mata subong gid,eye infection,eye_infection,filipino,active
,ginabalaka ko may nana akon mata subong gid ko,eye infection,eye_infection,filipino,active
,ginabalaka ko may nana akon mata subong ko gid,eye infection,eye_infection,filipino,active
,ginabalaka ko may nana akon mata subong man,eye infection,eye_infection,filipino,active
,ginabalaka ko may nana akon mata subong na gid,eye infection,eye_infection,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nag dugo man,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nagdugo man,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ko nabali kamot ko sang natumba gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali kamot ko sang natumba gid ko,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali kamot ko sang natumba ko gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali kamot ko sang natumba man,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali kamot ko sang natumba na gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali na kamot ko sang natumba gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali na kamot ko sang natumba gid ko,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali na kamot ko sang natumba ko gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali na kamot ko sang natumba man,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nabali na kamot ko sang natumba na gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ko nakuryente ko sang kuryente gid,electrical injury,electrical_injury,filipino,active
,ginabalaka ko nakuryente ko sang kuryente gid ko,electrical injury,electrical_injury,filipino,active
,ginabalaka ko nakuryente ko sang kuryente ko gid,electrical injury,electrical_injury,filipino,active
,ginabalaka ko nakuryente ko sang kuryente man,electrical injury,electrical_injury,filipino,active
,ginabalaka ko nakuryente ko sang kuryente na gid,electrical injury,electrical_injury,filipino,active
,ginabalaka ko nautod na tudlo ko sang makina gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod na tudlo ko sang makina gid ko,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod na tudlo ko sang makina ko gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod na tudlo ko sang makina man,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod na tudlo ko sang makina na gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod tudlo ko sang makina gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod tudlo ko sang makina gid ko,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod tudlo ko sang makina ko gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod tudlo ko sang makina man,amputated finger,amputated_finger,filipino,active
,ginabalaka ko nautod tudlo ko sang makina na gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ku budlay gid ko magginhawa subong gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ku budlay gid ko magginhawa subong gid ko,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ku budlay gid ko magginhawa subong ko gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ku budlay gid ko magginhawa subong man,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ku budlay gid ko magginhawa subong na gid,difficulty breathing,difficulty_breathing,filipino,active
,ginabalaka ku ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ku ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ku ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ku ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ku ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,dog_bite_with_bleeding,filipino,active
,ginabalaka ku may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ku may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ku may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ku may pilas ko sa kamot kag nagdugo man,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ku may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,bleeding_hand_wound,filipino,active
,ginabalaka ku nabali kamot ko sang natumba gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ku nabali kamot ko sang natumba gid ko,hand fracture,hand_fracture,filipino,active
,ginabalaka ku nabali kamot ko sang natumba ko gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ku nabali kamot ko sang natumba man,hand fracture,hand_fracture,filipino,active
,ginabalaka ku nabali kamot ko sang natumba na gid,hand fracture,hand_fracture,filipino,active
,ginabalaka ku nakuryente ko sang kuryente gid,electrical injury,electrical_injury,filipino,active
,ginabalaka ku nakuryente ko sang kuryente gid ko,electrical injury,electrical_injury,filipino,active
,ginabalaka ku nakuryente ko sang kuryente ko gid,electrical injury,electrical_injury,filipino,active
,ginabalaka ku nakuryente ko sang kuryente man,electrical injury,electrical_injury,filipino,active
,ginabalaka ku nakuryente ko sang kuryente na gid,electrical injury,electrical_injury,filipino,active
,ginabalaka ku nautod tudlo ko sang makina gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ku nautod tudlo ko sang makina gid ko,amputated finger,amputated_finger,filipino,active
,ginabalaka ku nautod tudlo ko sang makina ko gid,amputated finger,amputated_finger,filipino,active
,ginabalaka ku nautod tudlo ko sang makina man,amputated finger,amputated_finger,filipino,active
,ginabalaka ku nautod tudlo ko sang makina na gid,amputated finger,amputated_finger,filipino,active
,ginadudul-om ko subong lang,diarrhea,diarrhea,filipino,active
,ginadugo ang ubo,hemoptysis,hemoptysis,filipino,active
,ginahilanat ko subong lang,fever,fever,filipino,active
,ginahilanat ko upod sang ginabaldom ko,fever with abdominal pain,fever_with_abdominal_pain,filipino,active
,ginahilanat ko upod sang ubo ko,fever with cough,fever_with_cough,filipino,active
,ginahilanat sing taas,high fever,high_fever,filipino,active
,ginahubag abaga akon,shoulder swelling,shoulder_swelling,filipino,active
,ginahubag abaga akon gid,shoulder swelling,shoulder_swelling,filipino,active
,ginahubag akon abaga,shoulder swelling,shoulder_swelling,filipino,active
,ginahubag akon ari,penile swelling,penile_swelling,filipino,active
,ginahubag akon ari ko,penile swelling,penile_swelling,filipino,active
,ginahubag akon ary,penile swelling,penile_swelling,filipino,active
,ginahubag akon ary ko,penile swelling,penile_swelling,filipino,active
,ginahubag akon atay,liver swelling,liver_swelling,filipino,active
,ginahubag akon awang,jaw swelling,jaw_swelling,filipino,active
,ginahubag akon baba,lip swelling,lip_swelling,filipino,active
,ginahubag akon balat,skin swelling,skin_swelling,filipino,active
,ginahubag akon batiis,leg swelling,leg_swelling,filipino,active
,ginahubag akon bato,kidney swelling,kidney_swelling,filipino,active
,ginahubag akon bayag,scrotal swelling,scrotal_swelling,filipino,active
,ginahubag akon baywang,waist swelling,waist_swelling,filipino,active
,ginahubag akon bilad,vaginal swelling,vaginal_swelling,filipino,active
,ginahubag akon bilad ko,vaginal swelling,vaginal_swelling,filipino,active
,ginahubag akon bilat,vaginal swelling,vaginal_swelling,filipino,active
,ginahubag akon bilat ko,vaginal swelling,vaginal_swelling,filipino,active
,ginahubag akon buhok,hair swelling,hair_swelling,filipino,active
,ginahubag akon bukong,forehead swelling,forehead_swelling,filipino,active
,ginahubag akon buuk,arm swelling,arm_swelling,filipino,active
,ginahubag akon dalunggan,ear swelling,ear_swelling,filipino,active
,ginahubag akon dila,swollen tongue,swollen_tongue,filipino,active
,ginahubag akon dughan,chest swelling,chest_swelling,filipino,active
,ginahubag akon ilong,nasal swelling,nasal_swelling,filipino,active
,ginahubag akon itlog,testicular swelling,testicular_swelling,filipino,active
,ginahubag akon itlog ko,testicular swelling,testicular_swelling,filipino,active
,ginahubag akon itlog ku,testicular swelling,testicular_swelling,filipino,active
,ginahubag akon itlug,testicular swelling,testicular_swelling,filipino,active
,ginahubag akon itlug ko,testicular swelling,testicular_swelling,filipino,active
