id,patient_complaint_hiligaynon,normalized_symptom,english_translation,medical_term,body_system,urgency_level,alternative_spellings,possible_conditions,confidence_keywords
1588,daw daw may cramps tiyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1589,daw daw may cramps tiyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1590,daw daw may cramps tiyan ko na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1591,daw daw may cramps tiyan ko subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1592,daw daw may cramps tyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1593,daw daw may cramps tyan ko ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1594,daw daw may cramps tyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1595,daw daw may cramps tyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1596,daw daw may cramps tyan ko na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1597,daw daw may cramps tyan ko subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1598,Daw ginapanuhot ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1599,daw ginapigos tiyan ko ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1600,daw ginapigos tiyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1601,daw ginapigos tiyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1602,daw ginapigos tiyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1603,daw ginapigos tyan ko ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1604,daw ginapigos tyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1605,daw ginapigos tyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1606,daw ginapigos tyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1607,daw grabe gid sakit tiyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1608,daw grabe gid sakit tiyan ko subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1609,daw grabe gid sakit tyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1610,daw grabe gid sakit tyan ko subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1611,daw hapdi gid tiyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1612,daw hapdi gid tiyan ko na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1613,daw hapdi gid tyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1614,daw hapdi gid tyan ko na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1615,daw masakit akon tiyan halin sang aga ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1616,daw masakit akon tiyan kagapon man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1617,daw masakit akon tiyan pirmi gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1618,daw masakit akon tiyan sige subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1619,daw masakit akon tiyan since yesterday gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1620,daw masakit akon tiyan subong ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1621,daw masakit akon tiyan subong subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1622,daw masakit akon tyan halin sang aga ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1623,daw masakit akon tyan kagapon man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1624,daw masakit akon tyan pirmi gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1625,daw masakit akon tyan sige subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1626,daw masakit akon tyan since yesterday gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1627,daw masakit akon tyan subong ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1628,daw masakit akon tyan subong subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1629,daw masakit tyan ko subong gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1630,daw masakit tyan ko subong gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1631,daw masakit tyan ko subong ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1632,daw masakit tyan ko subong man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1633,daw may ara ko sakit tiyan ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1634,daw may ara ko sakit tiyan gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1635,daw may ara ko sakit tiyan subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1636,daw may ara ko sakit tyan ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1637,daw may ara ko sakit tyan gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1638,daw may ara ko sakit tyan subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1639,daw may cramps tiyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1640,daw may cramps tiyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1641,daw may cramps tiyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1642,daw may cramps tiyan ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1643,daw may cramps tyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1644,daw may cramps tyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1645,daw may cramps tyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1646,daw may cramps tyan ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1647,daw sakit tiyan ko amo gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1648,daw sakit tiyan ko amo gid subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1649,daw sakit tiyan ko daw malala ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1650,daw sakit tiyan ko daw malala ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1651,daw sakit tiyan ko gid man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1652,daw sakit tiyan ko grabeh na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1653,daw sakit tyan ko amo gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1654,daw sakit tyan ko amo gid subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1655,daw sakit tyan ko daw malala ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1656,daw sakit tyan ko daw malala ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1657,daw sakit tyan ko gid man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1658,daw sakit tyan ko grabeh na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1659,daw stomach pain gid ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1660,daw stomach pain gid ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1661,daw stomach pain gid ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1662,daw stomach pain gid ko subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1663,daw tiyan ko masakit gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1664,daw tiyan ko masakit gid gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1665,daw tiyan ko masakit gid subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1666,daw tyan ko masakit gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1667,daw tyan ko masakit gid gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1668,daw tyan ko masakit gid subong,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1669,feel ko nga daw ginapigos tiyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1670,feel ko nga daw ginapigos tiyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1671,feel ko nga daw ginapigos tiyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1672,feel ko nga daw ginapigos tiyan ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1673,feel ko nga daw ginapigos tyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1674,feel ko nga daw ginapigos tyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1675,feel ko nga daw ginapigos tyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1676,feel ko nga daw ginapigos tyan ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1677,feel ko nga daw may cramps tiyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1678,feel ko nga daw may cramps tiyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1679,feel ko nga daw may cramps tiyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1680,feel ko nga daw may cramps tiyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1681,feel ko nga daw may cramps tyan ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1682,feel ko nga daw may cramps tyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1683,feel ko nga daw may cramps tyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1684,feel ko nga daw may cramps tyan ko ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1685,feel ko nga grabe gid sakit tiyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1686,feel ko nga grabe gid sakit tiyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1687,feel ko nga grabe gid sakit tiyan ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1688,feel ko nga grabe gid sakit tiyan ko na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1689,feel ko nga grabe gid sakit tyan ko gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1690,feel ko nga grabe gid sakit tyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1691,feel ko nga grabe gid sakit tyan ko man,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1692,feel ko nga grabe gid sakit tyan ko na gid,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1693,feel ko nga hapdi gid tiyan ko ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1694,feel ko nga hapdi gid tiyan ko gid ako,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
1695,feel ko nga hapdi gid tiyan ko gid ko,sakit tiyan,stomach pain,abdominal pain,digestive,Medium,masakit tiyan;sakit tyan;sakit sikmura;stomach pain;tiyan masakit,gastritis;GERD;appendicitis;IBS;food poisoning,stomach;abdomen;tiyan;pain
